ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,100.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,84.9%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.9%,80.9%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,73.2%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,69.8%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.4%,65.8%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,65.8%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,65.8%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,65.8%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,62.5%
456,https://leetcode.com/problems/132-pattern,132 Pattern,Medium,34.1%,62.5%
475,https://leetcode.com/problems/heaters,Heaters,Medium,40.1%,62.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,61.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,61.0%
628,https://leetcode.com/problems/maximum-product-of-three-numbers,Maximum Product of Three Numbers,Easy,45.9%,61.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,61.0%
664,https://leetcode.com/problems/strange-printer,Strange Printer,Hard,61.0%,55.8%
3719,https://leetcode.com/problems/longest-balanced-subarray-i,Longest Balanced Subarray I,Medium,65.7%,55.8%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,54.7%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,54.7%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,54.7%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,54.7%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,54.7%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,37.8%,54.7%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,81.8%,54.7%
929,https://leetcode.com/problems/unique-email-addresses,Unique Email Addresses,Easy,67.9%,54.7%
1698,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,Number of Distinct Substrings in a String,Medium,64.7%,54.7%
2467,https://leetcode.com/problems/most-profitable-path-in-a-tree,Most Profitable Path in a Tree,Medium,67.3%,54.7%
3619,https://leetcode.com/problems/count-islands-with-total-value-divisible-by-k,Count Islands With Total Value Divisible by K,Medium,56.3%,54.7%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,50.0%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,70.8%,50.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,50.0%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,56.1%,50.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.1%,50.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,50.0%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,50.0%
931,https://leetcode.com/problems/minimum-falling-path-sum,Minimum Falling Path Sum,Medium,61.2%,50.0%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.7%,47.2%
