ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,100.0%
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,42.1%,100.0%
664,https://leetcode.com/problems/strange-printer,Strange Printer,Hard,60.9%,100.0%
3719,https://leetcode.com/problems/longest-balanced-subarray-i,Longest Balanced Subarray I,Medium,65.6%,100.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,89.1%
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,53.3%,89.1%
2812,https://leetcode.com/problems/find-the-safest-path-in-a-grid,Find the Safest Path in a Grid,Medium,48.7%,89.1%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,55.0%,77.6%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.3%,63.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.3%,63.5%
