ID,URL,Title,Difficulty,Acceptance %,Frequency %
874,https://leetcode.com/problems/walking-robot-simulation,"Walking Robot Simulation",Medium,64.6%,100.0%
2085,https://leetcode.com/problems/count-common-words-with-one-occurrence,"Count Common Words With One Occurrence",Easy,73.3%,100.0%
2809,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x,"Minimum Time to Make Array Sum At Most x",Hard,27.3%,98.0%
2296,https://leetcode.com/problems/design-a-text-editor,"Design a Text Editor",Hard,50.4%,74.8%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,68.2%
495,https://leetcode.com/problems/teemo-attacking,"Teemo Attacking",Easy,57.6%,68.2%
2235,https://leetcode.com/problems/add-two-integers,"Add Two Integers",Easy,87.9%,68.2%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,65.3%,62.5%
399,https://leetcode.com/problems/evaluate-division,"Evaluate Division",Medium,63.2%,62.5%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,58.9%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,58.9%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,58.9%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,58.9%
415,https://leetcode.com/problems/add-strings,"Add Strings",Easy,52.1%,58.9%
1032,https://leetcode.com/problems/stream-of-characters,"Stream of Characters",Hard,52.2%,58.9%
1801,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Number of Orders in the Backlog",Medium,53.9%,58.9%
