ID,URL,Title,Difficulty,Acceptance %,Frequency %
874,https://leetcode.com/problems/walking-robot-simulation,Walking Robot Simulation,Medium,64.6%,100.0%
2085,https://leetcode.com/problems/count-common-words-with-one-occurrence,Count Common Words With One Occurrence,Easy,73.3%,100.0%
2296,https://leetcode.com/problems/design-a-text-editor,Design a Text Editor,Hard,50.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,91.7%
1801,https://leetcode.com/problems/number-of-orders-in-the-backlog,Number of Orders in the Backlog,Medium,54.4%,91.7%
2235,https://leetcode.com/problems/add-two-integers,Add Two Integers,Easy,87.9%,91.7%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,80.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,80.1%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.1%,80.1%
495,https://leetcode.com/problems/teemo-attacking,Teemo Attacking,Easy,57.6%,80.1%
1032,https://leetcode.com/problems/stream-of-characters,Stream of Characters,Hard,52.2%,80.1%
2809,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x,Minimum Time to Make Array Sum At Most x,Hard,27.3%,80.1%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,58.1%,80.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.2%,75.0%
