ID,URL,Title,Difficulty,Acceptance %,Frequency %
1993,https://leetcode.com/problems/operations-on-tree,Operations on Tree,Medium,45.2%,100.0%
2360,https://leetcode.com/problems/longest-cycle-in-a-graph,Longest Cycle in a Graph,Hard,50.6%,87.3%
2359,https://leetcode.com/problems/find-closest-node-to-given-two-nodes,Find Closest Node to Given Two Nodes,Medium,53.0%,84.1%
2374,https://leetcode.com/problems/node-with-highest-edge-score,Node With Highest Edge Score,Medium,49.3%,82.3%
3409,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference,Longest Subsequence With Decreasing Adjacent Difference,Medium,16.8%,82.3%
3842,https://leetcode.com/problems/toggle-light-bulbs,Toggle Light Bulbs,Easy,71.9%,75.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,61.6%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,61.6%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,55.7%
1857,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,Largest Color Value in a Directed Graph,Hard,57.3%,55.7%
3515,https://leetcode.com/problems/shortest-path-in-a-weighted-tree,Shortest Path in a Weighted Tree,Hard,42.3%,55.7%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,50.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,47.4%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,47.4%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.8%,47.4%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,47.4%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.3%,47.4%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,47.4%
1717,https://leetcode.com/problems/maximum-score-from-removing-substrings,Maximum Score From Removing Substrings,Medium,66.5%,47.4%
