ID,URL,Title,Difficulty,Acceptance %,Frequency %
3584,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence,Maximum Product of First and Last Elements of a Subsequence,Medium,31.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,96.9%
554,https://leetcode.com/problems/brick-wall,Brick Wall,Medium,56.0%,84.2%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.3%,84.2%
2106,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps,Maximum Fruits Harvested After at Most K Steps,Hard,61.0%,84.2%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,77.6%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,75.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,75.0%
670,https://leetcode.com/problems/maximum-swap,Maximum Swap,Medium,51.8%,75.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,68.3%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,68.3%
