ID,URL,Title,Difficulty,Acceptance %,Frequency %
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,46.0%,100.0%
364,https://leetcode.com/problems/nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,66.9%,94.4%
432,https://leetcode.com/problems/all-oone-data-structure,All O'one Data Structure,Hard,44.2%,92.9%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.6%,82.4%
244,https://leetcode.com/problems/shortest-word-distance-ii,Shortest Word Distance II,Medium,62.9%,81.5%
277,https://leetcode.com/problems/find-the-celebrity,Find the Celebrity,Medium,49.0%,80.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,79.5%
339,https://leetcode.com/problems/nested-list-weight-sum,Nested List Weight Sum,Medium,86.0%,78.8%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,78.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,77.8%
366,https://leetcode.com/problems/find-leaves-of-binary-tree,Find Leaves of Binary Tree,Medium,81.3%,77.8%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,74.8%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.1%,73.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.3%,73.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,73.1%
156,https://leetcode.com/problems/binary-tree-upside-down,Binary Tree Upside Down,Medium,65.5%,71.7%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,71.2%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,70.2%
698,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,Medium,38.6%,69.7%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,68.6%
256,https://leetcode.com/problems/paint-house,Paint House,Medium,64.4%,66.8%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,66.1%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,65.5%
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,78.1%,65.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,65.5%
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,70.5%,65.5%
360,https://leetcode.com/problems/sort-transformed-array,Sort Transformed Array,Medium,58.1%,65.5%
101,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,Easy,61.1%,64.1%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.6%,64.1%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,63.3%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,63.3%
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,66.2%,63.3%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.0%,62.5%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,57.9%,62.5%
272,https://leetcode.com/problems/closest-binary-search-tree-value-ii,Closest Binary Search Tree Value II,Hard,61.2%,61.7%
744,https://leetcode.com/problems/find-smallest-letter-greater-than-target,Find Smallest Letter Greater Than Target,Easy,59.1%,61.7%
243,https://leetcode.com/problems/shortest-word-distance,Shortest Word Distance,Easy,66.3%,60.9%
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,55.8%,60.9%
