ID,URL,Title,Difficulty,Acceptance %,Frequency %
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.3%,100.0%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,46.0%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,87.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,87.5%
156,https://leetcode.com/problems/binary-tree-upside-down,Binary Tree Upside Down,Medium,64.6%,87.5%
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,56.4%,87.5%
364,https://leetcode.com/problems/nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,65.6%,87.5%
432,https://leetcode.com/problems/all-oone-data-structure,All O'one Data Structure,Hard,44.1%,87.5%
671,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,Second Minimum Node In a Binary Tree,Easy,45.4%,87.5%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,66.1%,87.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,77.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,77.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,37.0%,77.5%
244,https://leetcode.com/problems/shortest-word-distance-ii,Shortest Word Distance II,Medium,62.9%,77.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,77.5%
381,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,37.0%,77.5%
