ID,URL,Title,Difficulty,Acceptance %,Frequency %
2271,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet,Maximum White Tiles Covered by a Carpet,Medium,35.8%,100.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,88.1%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,88.1%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,88.1%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,88.1%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,88.1%
1755,https://leetcode.com/problems/closest-subsequence-sum,Closest Subsequence Sum,Hard,43.6%,88.1%
2747,https://leetcode.com/problems/count-zero-request-servers,Count Zero Request Servers,Medium,35.8%,88.1%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.7%,80.9%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,58.1%,80.4%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,49.3%,80.4%
