ID,URL,Title,Difficulty,Acceptance %,Frequency %
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,100.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,93.4%
158,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given read4 II - Call Multiple Times,Hard,43.3%,91.3%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,86.2%
109,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,66.4%,74.7%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,72.9%
632,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,Hard,70.1%,72.9%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,46.0%,72.9%
958,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Check Completeness of a Binary Tree,Medium,59.1%,72.9%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.3%,72.9%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.6%,70.9%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,59.6%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,55.3%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.9%,55.3%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,55.3%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.7%,50.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,49.8%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,64.3%,49.8%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,49.8%
365,https://leetcode.com/problems/water-and-jug-problem,Water and Jug Problem,Medium,45.4%,49.8%
1298,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,Maximum Candies You Can Get from Boxes,Hard,67.7%,49.8%
1620,https://leetcode.com/problems/coordinate-with-maximum-network-quality,Coordinate With Maximum Network Quality,Medium,39.5%,49.8%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,50.1%,42.2%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,42.1%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,42.1%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,58.2%,42.1%
1008,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,Medium,84.2%,42.1%
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,43.8%,37.5%
1882,https://leetcode.com/problems/process-tasks-using-servers,Process Tasks Using Servers,Medium,41.3%,37.5%
