ID,URL,Title,Difficulty,Acceptance %,Frequency %
1714,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Sum Of Special Evenly-Spaced Elements In Array",Hard,49.9%,100.0%
2368,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Reachable Nodes With Restrictions",Medium,60.3%,100.0%
2370,https://leetcode.com/problems/longest-ideal-subsequence,"Longest Ideal Subsequence",Medium,46.6%,100.0%
2958,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Length of Longest Subarray With at Most K Frequency",Medium,56.5%,100.0%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,42.8%,82.8%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Cheapest Flights Within K Stops",Medium,41.7%,82.8%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,77.3%
55,https://leetcode.com/problems/jump-game,"Jump Game",Medium,39.6%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,70.2%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,70.2%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,70.2%
10,https://leetcode.com/problems/regular-expression-matching,"Regular Expression Matching",Hard,29.4%,62.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,63.3%,62.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Find First and Last Position of Element in Sorted Array",Medium,47.0%,62.5%
45,https://leetcode.com/problems/jump-game-ii,"Jump Game II",Medium,41.6%,62.5%
72,https://leetcode.com/problems/edit-distance,"Edit Distance",Medium,59.0%,62.5%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,65.8%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,"Implement Trie (Prefix Tree)",Medium,68.1%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,67.9%,62.5%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,"Search a 2D Matrix II",Medium,55.4%,62.5%
334,https://leetcode.com/problems/increasing-triplet-subsequence,"Increasing Triplet Subsequence",Medium,39.1%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.0%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,60.2%
32,https://leetcode.com/problems/longest-valid-parentheses,"Longest Valid Parentheses",Hard,38.6%,60.2%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,60.2%
43,https://leetcode.com/problems/multiply-strings,"Multiply Strings",Medium,44.0%,60.2%
75,https://leetcode.com/problems/sort-colors,"Sort Colors",Medium,69.5%,60.2%
76,https://leetcode.com/problems/minimum-window-substring,"Minimum Window Substring",Hard,47.4%,60.2%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,60.2%
127,https://leetcode.com/problems/word-ladder,"Word Ladder",Hard,45.4%,60.2%
155,https://leetcode.com/problems/min-stack,"Min Stack",Medium,58.0%,60.2%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,53.1%,60.2%
213,https://leetcode.com/problems/house-robber-ii,"House Robber II",Medium,44.8%,60.2%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,48.7%,60.2%
399,https://leetcode.com/problems/evaluate-division,"Evaluate Division",Medium,64.1%,60.2%
918,https://leetcode.com/problems/maximum-sum-circular-subarray,"Maximum Sum Circular Subarray",Medium,49.9%,60.2%
