ID,URL,Title,Difficulty,Acceptance %,Frequency %
2861,https://leetcode.com/problems/maximum-number-of-alloys,Maximum Number of Alloys,Medium,40.8%,100.0%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,30.2%,98.2%
2462,https://leetcode.com/problems/total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,43.6%,98.2%
566,https://leetcode.com/problems/reshape-the-matrix,Reshape the Matrix,Easy,64.9%,96.2%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,46.2%,96.2%
500,https://leetcode.com/problems/keyboard-row,Keyboard Row,Easy,73.8%,91.8%
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,52.4%,91.8%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,47.9%,91.8%
1130,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,Minimum Cost Tree From Leaf Values,Medium,67.8%,91.8%
1163,https://leetcode.com/problems/last-substring-in-lexicographical-order,Last Substring in Lexicographical Order,Hard,35.0%,91.8%
2038,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,Remove Colored Pieces if Both Neighbors are the Same Color,Medium,63.1%,91.8%
2514,https://leetcode.com/problems/count-anagrams,Count Anagrams,Hard,37.5%,91.8%
3048,https://leetcode.com/problems/earliest-second-to-mark-indices-i,Earliest Second to Mark Indices I,Medium,36.8%,91.8%
3049,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,Earliest Second to Mark Indices II,Hard,22.6%,91.8%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,69.2%,86.4%
2582,https://leetcode.com/problems/pass-the-pillow,Pass the Pillow,Easy,56.5%,86.4%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.1%,74.9%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.0%,69.5%
2918,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,50.2%,69.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.9%,62.5%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,58.3%,62.5%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,62.1%,62.5%
2851,https://leetcode.com/problems/string-transformation,String Transformation,Hard,27.0%,62.5%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,67.5%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,52.7%
1167,https://leetcode.com/problems/minimum-cost-to-connect-sticks,Minimum Cost to Connect Sticks,Medium,71.9%,52.7%
1220,https://leetcode.com/problems/count-vowels-permutation,Count Vowels Permutation,Hard,61.3%,52.7%
1290,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Convert Binary Number in a Linked List to Integer,Easy,82.3%,52.7%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,52.7%
1335,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,Minimum Difficulty of a Job Schedule,Hard,59.8%,52.7%
2559,https://leetcode.com/problems/count-vowel-strings-in-ranges,Count Vowel Strings in Ranges,Medium,67.8%,52.7%
2697,https://leetcode.com/problems/lexicographically-smallest-palindrome,Lexicographically Smallest Palindrome,Easy,81.3%,52.7%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,38.0%,52.7%
3335,https://leetcode.com/problems/total-characters-in-string-after-transformations-i,Total Characters in String After Transformations I,Medium,45.6%,52.7%
108,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,Easy,74.2%,50.0%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,50.3%,50.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,50.0%
526,https://leetcode.com/problems/beautiful-arrangement,Beautiful Arrangement,Medium,64.6%,50.0%
834,https://leetcode.com/problems/sum-of-distances-in-tree,Sum of Distances in Tree,Hard,65.4%,50.0%
2016,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Maximum Difference Between Increasing Elements,Easy,66.2%,50.0%
