ID,URL,Title,Difficulty,Acceptance %,Frequency %
407,https://leetcode.com/problems/trapping-rain-water-ii,"Trapping Rain Water II",Hard,64.1%,100.0%
2538,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Difference Between Maximum and Minimum Price Sum",Hard,33.4%,100.0%
2572,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Count the Number of Square-Free Subsets",Medium,26.5%,98.2%
1959,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,"Minimum Total Space Wasted With K Resizing Operations",Medium,43.8%,94.1%
1222,https://leetcode.com/problems/queens-that-can-attack-the-king,"Queens That Can Attack the King",Medium,72.6%,91.8%
1266,https://leetcode.com/problems/minimum-time-visiting-all-points,"Minimum Time Visiting All Points",Easy,84.8%,91.8%
1642,https://leetcode.com/problems/furthest-building-you-can-reach,"Furthest Building You Can Reach",Medium,50.8%,91.8%
1787,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,"Make the XOR of All Segments Equal to Zero",Hard,40.6%,91.8%
1879,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,"Minimum XOR Sum of Two Arrays",Hard,51.0%,91.8%
1938,https://leetcode.com/problems/maximum-genetic-difference-query,"Maximum Genetic Difference Query",Hard,46.8%,91.8%
2473,https://leetcode.com/problems/minimum-cost-to-buy-apples,"Minimum Cost to Buy Apples",Medium,67.2%,91.8%
2479,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,"Maximum XOR of Two Non-Overlapping Subtrees",Hard,51.9%,91.8%
2835,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,"Minimum Operations to Form Subsequence With Target Sum",Hard,32.5%,91.8%
2852,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,"Sum of Remoteness of All Cells",Medium,70.7%,91.8%
2873,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,"Maximum Value of an Ordered Triplet I",Easy,58.2%,91.8%
2874,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,"Maximum Value of an Ordered Triplet II",Medium,56.4%,91.8%
