ID,URL,Title,Difficulty,Acceptance %,Frequency %
407,https://leetcode.com/problems/trapping-rain-water-ii,"Trapping Rain Water II",Hard,64.1%,100.0%
30,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Substring with Concatenation of All Words",Hard,33.1%,87.5%
114,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Flatten Binary Tree to Linked List",Medium,68.7%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,55.4%,87.5%
2538,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Difference Between Maximum and Minimum Price Sum",Hard,33.4%,81.2%
354,https://leetcode.com/problems/russian-doll-envelopes,"Russian Doll Envelopes",Hard,37.8%,77.2%
2572,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Count the Number of Square-Free Subsets",Medium,26.5%,77.2%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,67.0%,75.0%
55,https://leetcode.com/problems/jump-game,"Jump Game",Medium,39.6%,75.0%
173,https://leetcode.com/problems/binary-search-tree-iterator,"Binary Search Tree Iterator",Medium,75.0%,75.0%
2742,https://leetcode.com/problems/painting-the-walls,"Painting the Walls",Hard,48.6%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,72.2%
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Most Stones Removed with Same Row or Column",Medium,62.9%,72.2%
1959,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,"Minimum Total Space Wasted With K Resizing Operations",Medium,43.8%,65.9%
2945,https://leetcode.com/problems/find-maximum-non-decreasing-array-length,"Find Maximum Non-decreasing Array Length",Hard,18.8%,65.9%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,62.4%,62.5%
87,https://leetcode.com/problems/scramble-string,"Scramble String",Hard,42.3%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Best Time to Buy and Sell Stock II",Medium,69.6%,62.5%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,45.4%,62.5%
193,https://leetcode.com/problems/valid-phone-numbers,"Valid Phone Numbers",Easy,27.6%,62.5%
