ID,URL,Title,Difficulty,Acceptance %,Frequency %
3514,https://leetcode.com/problems/number-of-unique-xor-triplets-ii,Number of Unique XOR Triplets II,Medium,32.5%,100.0%
2930,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,Number of Strings Which Can Be Rearranged to Contain Substring,Medium,56.8%,97.5%
2953,https://leetcode.com/problems/count-complete-substrings,Count Complete Substrings,Hard,30.3%,97.5%
2959,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,Number of Possible Sets of Closing Branches,Hard,50.8%,97.5%
3513,https://leetcode.com/problems/number-of-unique-xor-triplets-i,Number of Unique XOR Triplets I,Medium,26.6%,97.5%
3709,https://leetcode.com/problems/design-exam-scores-tracker,Design Exam Scores Tracker,Medium,44.1%,91.8%
3715,https://leetcode.com/problems/sum-of-perfect-square-ancestors,Sum of Perfect Square Ancestors,Hard,42.5%,91.8%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,51.2%,88.3%
754,https://leetcode.com/problems/reach-a-number,Reach a Number,Medium,45.0%,79.7%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,69.2%,79.7%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,75.0%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,48.2%,73.9%
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,44.5%,73.9%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,74.1%,73.9%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,51.0%,73.9%
1639,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,Number of Ways to Form a Target String Given a Dictionary,Hard,56.5%,73.9%
2187,https://leetcode.com/problems/minimum-time-to-complete-trips,Minimum Time to Complete Trips,Medium,39.7%,73.9%
2742,https://leetcode.com/problems/painting-the-walls,Painting the Walls,Hard,49.0%,73.9%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.1%,73.9%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,66.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,66.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,66.5%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,51.8%,66.5%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,52.5%,66.5%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,66.5%
2565,https://leetcode.com/problems/subsequence-with-the-minimum-score,Subsequence With the Minimum Score,Hard,32.5%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.6%,56.8%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.2%,56.8%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.9%,56.8%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,56.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,56.1%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,56.1%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,30.6%,56.1%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,56.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,56.1%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,56.1%
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.5%,56.1%
584,https://leetcode.com/problems/find-customer-referee,Find Customer Referee,Easy,72.8%,56.1%
587,https://leetcode.com/problems/erect-the-fence,Erect the Fence,Hard,52.9%,56.1%
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,70.4%,56.1%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,56.1%
740,https://leetcode.com/problems/delete-and-earn,Delete and Earn,Medium,57.2%,56.1%
805,https://leetcode.com/problems/split-array-with-same-average,Split Array With Same Average,Hard,27.0%,56.1%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,56.1%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.9%,56.1%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,40.0%,56.1%
2751,https://leetcode.com/problems/robot-collisions,Robot Collisions,Hard,61.6%,56.1%
2771,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,Longest Non-decreasing Subarray From Two Arrays,Medium,31.1%,56.1%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.1%,50.0%
1761,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,Minimum Degree of a Connected Trio in a Graph,Hard,43.5%,50.0%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,36.4%,50.0%
