ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,81.7%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,80.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,79.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,79.8%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,76.2%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,76.2%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,73.7%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,71.9%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,71.9%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,70.9%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,68.8%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,67.6%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,67.6%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.1%,67.6%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,66.4%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,66.4%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,66.4%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.5%,66.4%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,65.1%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,65.1%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,63.8%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,62.3%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,62.3%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,62.3%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,62.3%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,62.3%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,60.7%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,60.7%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,60.7%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,60.7%
1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,Final Prices With a Special Discount in a Shop,Easy,84.1%,60.7%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,59.1%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,59.1%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,59.1%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,59.1%
175,https://leetcode.com/problems/combine-two-tables,Combine Two Tables,Easy,79.5%,57.2%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,57.2%
