ID,URL,Title,Difficulty,Acceptance %,Frequency %
3128,https://leetcode.com/problems/right-triangles,"Right Triangles",Medium,48.6%,100.0%
2978,https://leetcode.com/problems/symmetric-coordinates,"Symmetric Coordinates",Medium,40.9%,97.7%
3095,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,"Shortest Subarray With OR at Least K I",Easy,44.4%,97.7%
3097,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Shortest Subarray With OR at Least K II",Medium,50.2%,97.7%
3131,https://leetcode.com/problems/find-the-integer-added-to-array-i,"Find the Integer Added to Array I",Easy,82.9%,97.7%
3132,https://leetcode.com/problems/find-the-integer-added-to-array-ii,"Find the Integer Added to Array II",Medium,32.9%,97.7%
3144,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Minimum Substring Partition of Equal Character Frequency",Medium,40.2%,97.7%
3180,https://leetcode.com/problems/maximum-total-reward-using-operations-i,"Maximum Total Reward Using Operations I",Medium,30.9%,97.7%
3181,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,"Maximum Total Reward Using Operations II",Hard,21.9%,97.7%
3213,https://leetcode.com/problems/construct-string-with-minimum-cost,"Construct String with Minimum Cost",Hard,19.0%,97.7%
3837,https://leetcode.com/problems/delayed-count-of-equal-elements,"Delayed Count of Equal Elements",Medium,79.8%,92.4%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,69.2%
118,https://leetcode.com/problems/pascals-triangle,"Pascal's Triangle",Easy,78.9%,69.2%
6,https://leetcode.com/problems/zigzag-conversion,"Zigzag Conversion",Medium,54.0%,59.6%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,59.6%
45,https://leetcode.com/problems/jump-game-ii,"Jump Game II",Medium,42.7%,59.6%
556,https://leetcode.com/problems/next-greater-element-iii,"Next Greater Element III",Medium,35.3%,59.6%
