ID,URL,Title,Difficulty,Acceptance %,Frequency %
2978,https://leetcode.com/problems/symmetric-coordinates,Symmetric Coordinates,Medium,40.9%,100.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,73.9%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,73.9%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,65.2%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,65.2%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.7%,65.2%
556,https://leetcode.com/problems/next-greater-element-iii,Next Greater Element III,Medium,35.3%,65.2%
3095,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,Shortest Subarray With OR at Least K I,Easy,44.4%,65.2%
3097,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,Shortest Subarray With OR at Least K II,Medium,50.2%,65.2%
3128,https://leetcode.com/problems/right-triangles,Right Triangles,Medium,48.6%,65.2%
3131,https://leetcode.com/problems/find-the-integer-added-to-array-i,Find the Integer Added to Array I,Easy,82.9%,65.2%
3132,https://leetcode.com/problems/find-the-integer-added-to-array-ii,Find the Integer Added to Array II,Medium,32.9%,65.2%
3144,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,Minimum Substring Partition of Equal Character Frequency,Medium,40.2%,65.2%
3180,https://leetcode.com/problems/maximum-total-reward-using-operations-i,Maximum Total Reward Using Operations I,Medium,30.9%,65.2%
3181,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,Maximum Total Reward Using Operations II,Hard,21.9%,65.2%
3213,https://leetcode.com/problems/construct-string-with-minimum-cost,Construct String with Minimum Cost,Hard,19.0%,65.2%
