ID,URL,Title,Difficulty,Acceptance %,Frequency %
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,100.0%
1626,https://leetcode.com/problems/best-team-with-no-conflicts,"Best Team With No Conflicts",Medium,50.7%,93.0%
1217,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Minimum Cost to Move Chips to The Same Position",Easy,72.9%,90.9%
2433,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Find The Original Array of Prefix Xor",Medium,88.3%,90.9%
1964,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Find the Longest Valid Obstacle Course at Each Position",Hard,62.5%,88.6%
2152,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Minimum Number of Lines to Cover Points",Medium,43.9%,88.6%
2395,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Find Subarrays With Equal Sum",Easy,67.0%,88.6%
2432,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,"The Employee That Worked on the Longest Task",Easy,51.7%,88.6%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,83.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,76.3%
740,https://leetcode.com/problems/delete-and-earn,"Delete and Earn",Medium,57.2%,76.3%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Count Subarrays With Fixed Bounds",Hard,69.2%,76.3%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,66.5%
75,https://leetcode.com/problems/sort-colors,"Sort Colors",Medium,69.5%,66.5%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,66.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,"First Unique Character in a String",Easy,65.4%,66.5%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,41.2%,62.5%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Minimum Number of Refueling Stops",Hard,40.6%,62.5%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,59.6%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Remove Nth Node From End of List",Medium,51.4%,59.6%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,59.6%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,59.6%
55,https://leetcode.com/problems/jump-game,"Jump Game",Medium,40.8%,59.6%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,59.6%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,59.6%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,59.6%
496,https://leetcode.com/problems/next-greater-element-i,"Next Greater Element I",Easy,76.0%,59.6%
739,https://leetcode.com/problems/daily-temperatures,"Daily Temperatures",Medium,68.6%,59.6%
936,https://leetcode.com/problems/stamping-the-sequence,"Stamping The Sequence",Hard,62.3%,59.6%
2607,https://leetcode.com/problems/make-k-subarray-sums-equal,"Make K-Subarray Sums Equal",Medium,38.4%,59.6%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,64.0%,50.0%
61,https://leetcode.com/problems/rotate-list,"Rotate List",Medium,40.1%,50.0%
91,https://leetcode.com/problems/decode-ways,"Decode Ways",Medium,36.6%,50.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,52.3%,50.0%
155,https://leetcode.com/problems/min-stack,"Min Stack",Medium,56.6%,50.0%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,52.4%,50.0%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,50.0%
344,https://leetcode.com/problems/reverse-string,"Reverse String",Easy,79.8%,50.0%
696,https://leetcode.com/problems/count-binary-substrings,"Count Binary Substrings",Easy,66.0%,50.0%
2289,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Steps to Make Array Non-decreasing",Medium,23.2%,50.0%
2719,https://leetcode.com/problems/count-of-integers,"Count of Integers",Hard,37.1%,50.0%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,49.9%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,49.9%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,49.9%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,49.9%
135,https://leetcode.com/problems/candy,"Candy",Hard,48.3%,49.9%
143,https://leetcode.com/problems/reorder-list,"Reorder List",Medium,65.1%,49.9%
152,https://leetcode.com/problems/maximum-product-subarray,"Maximum Product Subarray",Medium,36.3%,49.9%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,66.2%,49.9%
