ID,URL,Title,Difficulty,Acceptance %,Frequency %
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,40.0%,100.0%
525,https://leetcode.com/problems/contiguous-array,Contiguous Array,Medium,51.2%,89.1%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,57.2%,83.9%
628,https://leetcode.com/problems/maximum-product-of-three-numbers,Maximum Product of Three Numbers,Easy,45.9%,77.2%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.6%,77.2%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,67.7%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,67.7%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,67.7%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,67.7%
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,53.3%,67.7%
