ID,URL,Title,Difficulty,Acceptance %,Frequency %
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,100.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,97.9%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,95.6%
220,https://leetcode.com/problems/contains-duplicate-iii,Contains Duplicate III,Hard,24.7%,93.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,93.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,93.0%
2622,https://leetcode.com/problems/cache-with-time-limit,Cache With Time Limit,Medium,76.1%,90.2%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,87.5%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,48.3%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,87.0%
1136,https://leetcode.com/problems/parallel-courses,Parallel Courses,Medium,62.4%,85.1%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,78.8%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.1%,78.8%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,60.2%,78.8%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,73.4%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.3%,73.4%
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,54.1%,73.4%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.7%,71.7%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,66.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,66.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,66.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,62.5%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,59.4%,62.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,67.5%,62.5%
797,https://leetcode.com/problems/all-paths-from-source-to-target,All Paths From Source to Target,Medium,83.7%,57.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,56.7%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,56.7%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.2%,56.7%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,56.7%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,56.7%
633,https://leetcode.com/problems/sum-of-square-numbers,Sum of Square Numbers,Medium,36.8%,56.7%
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,50.9%,56.7%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.8%,55.1%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,48.4%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,50.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,43.2%,50.0%
232,https://leetcode.com/problems/implement-queue-using-stacks,Implement Queue using Stacks,Easy,68.2%,50.0%
2251,https://leetcode.com/problems/number-of-flowers-in-full-bloom,Number of Flowers in Full Bloom,Hard,57.2%,50.0%
2704,https://leetcode.com/problems/to-be-or-not-to-be,To Be Or Not To Be,Easy,63.0%,50.0%
