ID,URL,Title,Difficulty,Acceptance %,Frequency %
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,43.7%,100.0%
1136,https://leetcode.com/problems/parallel-courses,Parallel Courses,Medium,62.2%,100.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,96.3%
2622,https://leetcode.com/problems/cache-with-time-limit,Cache With Time Limit,Medium,76.1%,96.3%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,20.9%,92.0%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.6%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,86.7%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,79.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,75.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.4%,75.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,75.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,49.2%,75.0%
220,https://leetcode.com/problems/contains-duplicate-iii,Contains Duplicate III,Hard,23.7%,75.0%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,57.8%,75.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,75.0%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,70.2%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.3%,70.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,62.5%
