ID,URL,Title,Difficulty,Acceptance %,Frequency %
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,100.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,87.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,87.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,87.0%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,67.1%,87.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,76.6%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,76.6%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,76.6%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,76.6%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,76.6%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.2%,76.6%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.1%,76.6%
2642,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,Design Graph With Shortest Path Calculator,Hard,65.0%,76.6%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.8%,76.5%
