ID,URL,Title,Difficulty,Acceptance %,Frequency %
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,100.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,92.3%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,92.3%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,92.3%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,67.1%,92.3%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,81.4%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,81.4%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,81.4%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,81.4%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,81.4%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.1%,81.4%
2642,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,Design Graph With Shortest Path Calculator,Hard,65.0%,81.4%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.5%,76.7%
