ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,100.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
2592,https://leetcode.com/problems/maximize-greatness-of-an-array,Maximize Greatness of an Array,Medium,58.9%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,95.7%
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,79.3%,90.7%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,87.5%
61,https://leetcode.com/problems/rotate-list,Rotate List,Medium,40.1%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,84.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,84.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,84.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,76.6%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,76.6%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,76.6%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,76.6%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,76.6%
18,https://leetcode.com/problems/4sum,4Sum,Medium,38.4%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,75.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.3%,75.0%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.0%,75.0%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,38.6%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,66.1%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,65.4%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,65.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,65.4%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,65.4%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,65.4%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,65.4%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,65.4%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,36.0%,65.4%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,65.4%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,57.8%,65.4%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,65.4%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.9%,65.4%
277,https://leetcode.com/problems/find-the-celebrity,Find the Celebrity,Medium,49.0%,65.4%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.2%,65.4%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,65.4%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.4%,65.4%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,65.4%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,65.4%
2433,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,Find The Original Array of Prefix Xor,Medium,88.3%,65.4%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,62.5%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,62.7%,62.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,60.8%,62.5%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,52.7%,62.5%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,41.4%,62.5%
190,https://leetcode.com/problems/reverse-bits,Reverse Bits,Easy,63.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,62.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.7%,62.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,67.5%,62.5%
