ID,URL,Title,Difficulty,Acceptance %,Frequency %
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,100.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,100.0%
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,79.3%,100.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.2%,100.0%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,38.6%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.8%,88.2%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.3%,88.2%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,60.8%,88.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.9%,87.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.3%,87.9%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,67.3%,87.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,87.8%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,87.8%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,87.8%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,87.8%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,87.8%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,87.8%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,57.8%,87.8%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,60.8%,87.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,87.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.7%,87.5%
2592,https://leetcode.com/problems/maximize-greatness-of-an-array,Maximize Greatness of an Array,Medium,58.9%,87.5%
