ID,URL,Title,Difficulty,Acceptance %,Frequency %
2408,https://leetcode.com/problems/design-sql,Design SQL,Medium,64.4%,100.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.1%,88.3%
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,51.5%,86.7%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.7%,84.9%
751,https://leetcode.com/problems/ip-to-cidr,IP to CIDR,Medium,53.5%,78.3%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,75.6%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,72.4%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,68.7%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.9%,68.7%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,50.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,50.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,68.1%,50.0%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,50.0%
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,51.2%,50.0%
2373,https://leetcode.com/problems/largest-local-values-in-a-matrix,Largest Local Values in a Matrix,Easy,87.7%,50.0%
3484,https://leetcode.com/problems/design-spreadsheet,Design Spreadsheet,Medium,74.2%,50.0%
