ID,URL,Title,Difficulty,Acceptance %,Frequency %
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,100.0%
2408,https://leetcode.com/problems/design-sql,Design SQL,Medium,69.4%,100.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.1%,100.0%
751,https://leetcode.com/problems/ip-to-cidr,IP to CIDR,Medium,53.5%,90.3%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,75.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,73.7%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.7%,71.7%
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,49.8%,62.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.7%,62.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.4%,62.5%
