ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,90.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,85.3%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,83.7%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,83.7%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,79.3%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,76.1%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,76.1%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,74.9%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,72.4%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,72.4%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,72.4%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,69.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,69.5%
1611,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,Minimum One Bit Operations to Make Integers Zero,Hard,78.3%,69.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,66.1%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,66.1%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,66.1%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,66.1%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,66.1%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,64.2%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,64.2%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,64.2%
3438,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,Find Valid Pair of Adjacent Digits in String,Easy,60.8%,64.2%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,62.5%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,51.5%,62.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,62.1%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.5%,62.1%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,59.9%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,59.9%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,59.9%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,59.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,59.9%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,59.9%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,70.0%,59.9%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,59.9%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,59.9%
450,https://leetcode.com/problems/delete-node-in-a-bst,Delete Node in a BST,Medium,54.5%,59.9%
525,https://leetcode.com/problems/contiguous-array,Contiguous Array,Medium,51.2%,59.9%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,61.2%,59.9%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,57.3%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,57.3%
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium,63.6%,57.3%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.6%,57.3%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.2%,57.3%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,57.3%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,57.3%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,57.3%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.0%,57.3%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,57.3%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,54.4%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,54.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,54.4%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,54.4%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,53.8%,54.4%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,54.4%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,54.4%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.7%,54.4%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,54.4%
