ID,URL,Title,Difficulty,Acceptance %,Frequency %
18,https://leetcode.com/problems/4sum,"4Sum",Medium,38.4%,100.0%
875,https://leetcode.com/problems/koko-eating-bananas,"Koko Eating Bananas",Medium,49.9%,100.0%
1642,https://leetcode.com/problems/furthest-building-you-can-reach,"Furthest Building You Can Reach",Medium,50.8%,100.0%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,88.3%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,88.3%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,88.3%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,88.3%
337,https://leetcode.com/problems/house-robber-iii,"House Robber III",Medium,55.8%,88.3%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,"Largest Rectangle in Histogram",Hard,47.6%,87.5%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,47.7%,87.5%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Maximum Profit in Job Scheduling",Hard,54.4%,87.5%
