ID,URL,Title,Difficulty,Acceptance %,Frequency %
896,https://leetcode.com/problems/monotonic-array,"Monotonic Array",Easy,62.3%,100.0%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,95.5%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,90.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,82.8%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,82.8%
185,https://leetcode.com/problems/department-top-three-salaries,"Department Top Three Salaries",Hard,60.3%,82.8%
977,https://leetcode.com/problems/squares-of-a-sorted-array,"Squares of a Sorted Array",Easy,73.7%,82.8%
184,https://leetcode.com/problems/department-highest-salary,"Department Highest Salary",Medium,55.0%,75.0%
226,https://leetcode.com/problems/invert-binary-tree,"Invert Binary Tree",Easy,79.1%,75.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,"First Unique Character in a String",Easy,63.8%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,72.8%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,72.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,72.8%
155,https://leetcode.com/problems/min-stack,"Min Stack",Medium,58.0%,72.8%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,72.8%
