ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,38.0%,96.4%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,80.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,75.7%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,75.7%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,70.4%
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,Minimum Number of Food Buckets to Feed the Hamsters,Medium,48.2%,70.4%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,63.6%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,63.6%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,63.6%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,63.6%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,63.6%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,63.6%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,63.6%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,63.6%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,63.6%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,72.5%,63.6%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,63.6%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,63.6%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,63.6%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.1%,63.6%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.5%,63.6%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,54.1%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,54.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,54.1%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,54.1%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,54.1%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.4%,54.1%
112,https://leetcode.com/problems/path-sum,Path Sum,Easy,54.8%,54.1%
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,62.1%,54.1%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,54.1%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,54.2%,54.1%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.8%,54.1%
226,https://leetcode.com/problems/invert-binary-tree,Invert Binary Tree,Easy,80.0%,54.1%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,54.1%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,54.1%
252,https://leetcode.com/problems/meeting-rooms,Meeting Rooms,Easy,59.4%,54.1%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,54.1%
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,40.0%,54.1%
870,https://leetcode.com/problems/advantage-shuffle,Advantage Shuffle,Medium,54.4%,54.1%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,54.1%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,51.4%,54.1%
1239,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,Maximum Length of a Concatenated String with Unique Characters,Medium,54.7%,54.1%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,54.0%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.7%,54.0%
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,44.7%,54.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,54.0%
