ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
1239,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,Maximum Length of a Concatenated String with Unique Characters,Medium,54.3%,87.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,71.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,71.5%
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,Minimum Number of Food Buckets to Feed the Hamsters,Medium,48.2%,71.5%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,38.0%,71.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,65.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,65.0%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,65.0%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,72.5%,65.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,65.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,65.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,55.8%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,55.8%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,55.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,55.8%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,55.8%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,55.8%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,55.8%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,55.8%
112,https://leetcode.com/problems/path-sum,Path Sum,Easy,54.8%,55.8%
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,62.1%,55.8%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,55.8%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.8%,55.8%
226,https://leetcode.com/problems/invert-binary-tree,Invert Binary Tree,Easy,80.0%,55.8%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,55.8%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,55.8%
252,https://leetcode.com/problems/meeting-rooms,Meeting Rooms,Easy,59.4%,55.8%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,55.8%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,55.8%
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,40.0%,55.8%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.1%,55.8%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.5%,55.8%
870,https://leetcode.com/problems/advantage-shuffle,Advantage Shuffle,Medium,54.5%,55.8%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,51.4%,55.8%
