ID,URL,Title,Difficulty,Acceptance %,Frequency %
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,81.8%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,81.8%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,Easy,71.5%,79.8%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,77.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,77.7%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,77.7%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,75.3%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.2%,75.3%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,72.7%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,72.7%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,69.7%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,66.2%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.4%,66.2%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,66.2%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.3%,62.5%
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,49.0%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,62.2%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,62.2%
1010,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Pairs of Songs With Total Durations Divisible by 60,Medium,53.5%,62.2%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.8%,62.2%
2559,https://leetcode.com/problems/count-vowel-strings-in-ranges,Count Vowel Strings in Ranges,Medium,67.8%,62.2%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,57.2%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,57.2%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.0%,57.2%
1202,https://leetcode.com/problems/smallest-string-with-swaps,Smallest String With Swaps,Medium,60.5%,57.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,50.8%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,50.8%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,50.8%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,50.8%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,50.8%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,50.8%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,50.8%
259,https://leetcode.com/problems/3sum-smaller,3Sum Smaller,Medium,51.3%,50.8%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,50.8%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,72.7%,50.8%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.1%,50.8%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.3%,50.8%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,50.8%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.3%,50.8%
851,https://leetcode.com/problems/loud-and-rich,Loud and Rich,Medium,63.4%,50.8%
945,https://leetcode.com/problems/minimum-increment-to-make-array-unique,Minimum Increment to Make Array Unique,Medium,60.6%,50.8%
1229,https://leetcode.com/problems/meeting-scheduler,Meeting Scheduler,Medium,55.2%,50.8%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,73.1%,50.8%
2380,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,Time Needed to Rearrange a Binary String,Medium,52.9%,50.8%
2524,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,Maximum Frequency Score of a Subarray,Hard,36.7%,50.8%
2554,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,Maximum Number of Integers to Choose From a Range I,Medium,68.0%,50.8%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,50.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,53.0%,50.0%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,45.4%,42.3%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,59.8%,42.3%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,41.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,41.8%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,41.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,41.8%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,69.4%,41.8%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,41.8%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,41.8%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.4%,41.8%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,41.8%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,41.8%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,41.8%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,41.8%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,41.8%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.8%,41.8%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.3%,41.8%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,41.8%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.2%,41.8%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,41.8%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,41.8%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,41.8%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,41.8%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,57.2%,41.8%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,41.8%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,41.8%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,41.8%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.6%,41.8%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,41.8%
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,44.5%,41.8%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.4%,41.8%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,41.8%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,41.8%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,41.8%
1060,https://leetcode.com/problems/missing-element-in-sorted-array,Missing Element in Sorted Array,Medium,59.7%,41.8%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,61.2%,41.8%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,41.8%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,41.8%
1358,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,Number of Substrings Containing All Three Characters,Medium,73.7%,41.8%
1473,https://leetcode.com/problems/paint-house-iii,Paint House III,Hard,61.2%,41.8%
1589,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,Maximum Sum Obtained of Any Permutation,Medium,40.7%,41.8%
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,83.0%,41.8%
1671,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array,Minimum Number of Removals to Make Mountain Array,Hard,54.8%,41.8%
1839,https://leetcode.com/problems/longest-substring-of-all-vowels-in-order,Longest Substring Of All Vowels in Order,Medium,51.8%,41.8%
1926,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,Nearest Exit from Entrance in Maze,Medium,48.5%,41.8%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.1%,41.8%
1969,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,Minimum Non-Zero Product of the Array Elements,Medium,37.4%,41.8%
1999,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,Smallest Greater Multiple Made of Two Digits,Medium,48.1%,41.8%
2056,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,Number of Valid Move Combinations On Chessboard,Hard,48.6%,41.8%
2183,https://leetcode.com/problems/count-array-pairs-divisible-by-k,Count Array Pairs Divisible by K,Hard,30.7%,41.8%
2366,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,Minimum Replacements to Sort the Array,Hard,53.1%,41.8%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,41.8%
2557,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,Maximum Number of Integers to Choose From a Range II,Medium,34.9%,41.8%
2586,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,Count the Number of Vowel Strings in Range,Easy,74.2%,41.8%
2625,https://leetcode.com/problems/flatten-deeply-nested-array,Flatten Deeply Nested Array,Medium,65.8%,41.8%
2697,https://leetcode.com/problems/lexicographically-smallest-palindrome,Lexicographically Smallest Palindrome,Easy,81.3%,41.8%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,41.6%
1251,https://leetcode.com/problems/average-selling-price,Average Selling Price,Easy,37.3%,41.6%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,37.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,37.5%
114,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,Medium,68.7%,37.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.1%,37.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,52.8%,37.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.6%,37.5%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,76.6%,37.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,63.8%,37.5%
895,https://leetcode.com/problems/maximum-frequency-stack,Maximum Frequency Stack,Hard,66.3%,37.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.3%,37.5%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,31.3%,37.5%
1854,https://leetcode.com/problems/maximum-population-year,Maximum Population Year,Easy,62.8%,37.5%
1882,https://leetcode.com/problems/process-tasks-using-servers,Process Tasks Using Servers,Medium,41.3%,37.5%
2385,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,Amount of Time for Binary Tree to Be Infected,Medium,64.0%,37.5%
