ID,URL,Title,Difficulty,Acceptance %,Frequency %
403,https://leetcode.com/problems/frog-jump,"Frog Jump",Hard,46.6%,100.0%
632,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Smallest Range Covering Elements from K Lists",Hard,70.1%,100.0%
2995,https://leetcode.com/problems/viewers-turned-streamers,"Viewers Turned Streamers",Hard,42.8%,97.3%
3008,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Find Beautiful Indices in the Given Array II",Hard,27.8%,97.3%
3405,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,"Count the Number of Arrays with K Matching Adjacent Elements",Hard,58.2%,97.3%
3418,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,"Maximum Amount of Money Robot Can Earn",Medium,47.8%,97.3%
3435,https://leetcode.com/problems/frequencies-of-shortest-supersequences,"Frequencies of Shortest Supersequences",Hard,22.2%,97.3%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,87.4%
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Most Stones Removed with Same Row or Column",Medium,62.9%,87.4%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Minimum Number of Days to Make m Bouquets",Medium,56.4%,87.4%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,83.1%
402,https://leetcode.com/problems/remove-k-digits,"Remove K Digits",Medium,36.7%,83.1%
834,https://leetcode.com/problems/sum-of-distances-in-tree,"Sum of Distances in Tree",Hard,65.6%,83.1%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,53.1%,78.1%
815,https://leetcode.com/problems/bus-routes,"Bus Routes",Hard,47.3%,78.1%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit",Medium,57.6%,78.1%
45,https://leetcode.com/problems/jump-game-ii,"Jump Game II",Medium,42.7%,71.9%
135,https://leetcode.com/problems/candy,"Candy",Hard,48.3%,71.9%
378,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Kth Smallest Element in a Sorted Matrix",Medium,64.6%,71.9%
406,https://leetcode.com/problems/queue-reconstruction-by-height,"Queue Reconstruction by Height",Medium,74.7%,71.9%
473,https://leetcode.com/problems/matchsticks-to-square,"Matchsticks to Square",Medium,41.8%,71.9%
488,https://leetcode.com/problems/zuma-game,"Zuma Game",Hard,29.8%,71.9%
880,https://leetcode.com/problems/decoded-string-at-index,"Decoded String at Index",Medium,37.3%,71.9%
882,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Reachable Nodes In Subdivided Graph",Hard,52.0%,71.9%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,71.9%
