ID,URL,Title,Difficulty,Acceptance %,Frequency %
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,100.0%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.4%,96.6%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,93.7%
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,43.1%,93.1%
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,46.2%,92.4%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.7%,85.3%
2302,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,Count Subarrays With Score Less Than K,Hard,62.3%,83.3%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,79.9%
1055,https://leetcode.com/problems/shortest-way-to-form-string,Shortest Way to Form String,Medium,61.6%,75.8%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,74.2%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,70.6%
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,52.1%,66.2%
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,49.9%,63.5%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.0%,63.5%
719,https://leetcode.com/problems/find-k-th-smallest-pair-distance,Find K-th Smallest Pair Distance,Hard,45.8%,62.5%
1306,https://leetcode.com/problems/jump-game-iii,Jump Game III,Medium,66.1%,62.5%
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,51.5%,60.5%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.0%,53.0%
311,https://leetcode.com/problems/sparse-matrix-multiplication,Sparse Matrix Multiplication,Medium,69.3%,52.5%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,52.5%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.3%,52.5%
1564,https://leetcode.com/problems/put-boxes-into-the-warehouse-i,Put Boxes Into the Warehouse I,Medium,67.5%,52.5%
1580,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii,Put Boxes Into the Warehouse II,Medium,65.9%,52.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,50.0%
785,https://leetcode.com/problems/is-graph-bipartite,Is Graph Bipartite?,Medium,57.9%,50.0%
980,https://leetcode.com/problems/unique-paths-iii,Unique Paths III,Hard,82.4%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,46.8%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.4%,46.8%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,46.8%
720,https://leetcode.com/problems/longest-word-in-dictionary,Longest Word in Dictionary,Medium,54.7%,46.8%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.2%,46.8%
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.4%,46.8%
759,https://leetcode.com/problems/employee-free-time,Employee Free Time,Hard,72.8%,46.8%
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,45.6%,46.8%
1996,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,The Number of Weak Characters in the Game,Medium,44.5%,46.8%
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,71.0%,39.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,39.1%
1110,https://leetcode.com/problems/delete-nodes-and-return-forest,Delete Nodes And Return Forest,Medium,72.5%,39.1%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,38.9%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,38.9%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,44.4%,38.9%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,38.9%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,38.9%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,38.9%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,60.4%,38.9%
571,https://leetcode.com/problems/find-median-given-frequency-of-numbers,Find Median Given Frequency of Numbers,Hard,42.3%,38.9%
1570,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,Dot Product of Two Sparse Vectors,Medium,89.9%,38.9%
2232,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,Minimize Result by Adding Parentheses to Expression,Medium,68.0%,38.9%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,64.0%,37.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,37.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,37.5%
277,https://leetcode.com/problems/find-the-celebrity,Find the Celebrity,Medium,48.5%,37.5%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,51.6%,37.5%
909,https://leetcode.com/problems/snakes-and-ladders,Snakes and Ladders,Medium,47.9%,37.5%
