ID,URL,Title,Difficulty,Acceptance %,Frequency %
15,https://leetcode.com/problems/3sum,"3Sum",Medium,37.2%,100.0%
40,https://leetcode.com/problems/combination-sum-ii,"Combination Sum II",Medium,59.3%,100.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,55.4%,100.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Best Time to Buy and Sell Stock II",Medium,69.6%,100.0%
1405,https://leetcode.com/problems/longest-happy-string,"Longest Happy String",Medium,65.5%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,88.0%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,88.0%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,88.0%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,88.0%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,88.0%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,88.0%
