ID,URL,Title,Difficulty,Acceptance %,Frequency %
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,100.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,92.4%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,71.1%,87.5%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,52.2%,87.5%
142,https://leetcode.com/problems/linked-list-cycle-ii,"Linked List Cycle II",Medium,55.2%,87.5%
2034,https://leetcode.com/problems/stock-price-fluctuation,"Stock Price Fluctuation",Medium,48.2%,87.5%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,81.7%
224,https://leetcode.com/problems/basic-calculator,"Basic Calculator",Hard,46.8%,81.7%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,68.8%,81.7%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,81.7%
853,https://leetcode.com/problems/car-fleet,"Car Fleet",Medium,55.0%,81.7%
875,https://leetcode.com/problems/koko-eating-bananas,"Koko Eating Bananas",Medium,49.9%,81.7%
1047,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"Remove All Adjacent Duplicates In String",Easy,73.1%,81.7%
1068,https://leetcode.com/problems/product-sales-analysis-i,"Product Sales Analysis I",Easy,85.7%,81.7%
