ID,URL,Title,Difficulty,Acceptance %,Frequency %
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,100.0%
631,https://leetcode.com/problems/design-excel-sum-formula,"Design Excel Sum Formula",Hard,39.9%,95.1%
3484,https://leetcode.com/problems/design-spreadsheet,"Design Spreadsheet",Medium,74.2%,91.2%
399,https://leetcode.com/problems/evaluate-division,"Evaluate Division",Medium,64.1%,80.0%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Number of Visible People in a Queue",Hard,72.9%,71.2%
465,https://leetcode.com/problems/optimal-account-balancing,"Optimal Account Balancing",Hard,50.4%,65.0%
2939,https://leetcode.com/problems/maximum-xor-product,"Maximum Xor Product",Medium,29.7%,65.0%
3387,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Maximize Amount After Two Days of Conversions",Medium,61.3%,65.0%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,52.2%,62.5%
690,https://leetcode.com/problems/employee-importance,"Employee Importance",Medium,68.5%,62.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,56.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,56.2%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,56.2%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,56.2%
460,https://leetcode.com/problems/lfu-cache,"LFU Cache",Hard,49.0%,56.2%
721,https://leetcode.com/problems/accounts-merge,"Accounts Merge",Medium,61.2%,56.2%
1046,https://leetcode.com/problems/last-stone-weight,"Last Stone Weight",Easy,66.4%,56.2%
1258,https://leetcode.com/problems/synonymous-sentences,"Synonymous Sentences",Medium,57.2%,56.2%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Minimum Number of Taps to Open to Water a Garden",Hard,51.0%,56.2%
1396,https://leetcode.com/problems/design-underground-system,"Design Underground System",Medium,74.5%,56.2%
