ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,100.0%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,92.2%
697,https://leetcode.com/problems/degree-of-an-array,"Degree of an Array",Easy,58.3%,92.2%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,49.5%,87.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,81.2%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,81.2%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,81.2%
796,https://leetcode.com/problems/rotate-string,"Rotate String",Easy,65.4%,81.2%
807,https://leetcode.com/problems/max-increase-to-keep-city-skyline,"Max Increase to Keep City Skyline",Medium,86.4%,81.2%
2625,https://leetcode.com/problems/flatten-deeply-nested-array,"Flatten Deeply Nested Array",Medium,65.8%,81.2%
