ID,URL,Title,Difficulty,Acceptance %,Frequency %
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,81.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,81.7%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,81.7%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.3%,81.7%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,65.4%,81.7%
807,https://leetcode.com/problems/max-increase-to-keep-city-skyline,Max Increase to Keep City Skyline,Medium,86.4%,81.7%
2625,https://leetcode.com/problems/flatten-deeply-nested-array,Flatten Deeply Nested Array,Medium,65.8%,81.7%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,47.0%,81.6%
