ID,URL,Title,Difficulty,Acceptance %,Frequency %
723,https://leetcode.com/problems/candy-crush,"Candy Crush",Medium,77.4%,100.0%
767,https://leetcode.com/problems/reorganize-string,"Reorganize String",Medium,57.0%,97.7%
1434,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Number of Ways to Wear Different Hats to Each Other",Hard,45.9%,93.6%
68,https://leetcode.com/problems/text-justification,"Text Justification",Hard,50.9%,90.4%
621,https://leetcode.com/problems/task-scheduler,"Task Scheduler",Medium,63.0%,86.5%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,"Maximize Distance to Closest Person",Medium,49.7%,85.5%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,84.3%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,75.8%
1248,https://leetcode.com/problems/count-number-of-nice-subarrays,"Count Number of Nice Subarrays",Medium,75.0%,74.0%
1282,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Group the People Given the Group Size They Belong To",Medium,87.5%,74.0%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,72.0%
273,https://leetcode.com/problems/integer-to-english-words,"Integer to English Words",Hard,35.0%,72.0%
642,https://leetcode.com/problems/design-search-autocomplete-system,"Design Search Autocomplete System",Hard,49.9%,72.0%
811,https://leetcode.com/problems/subdomain-visit-count,"Subdomain Visit Count",Medium,77.2%,72.0%
1280,https://leetcode.com/problems/students-and-examinations,"Students and Examinations",Easy,61.1%,72.0%
1290,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Convert Binary Number in a Linked List to Integer",Easy,82.3%,72.0%
1297,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Maximum Number of Occurrences of a Substring",Medium,54.4%,72.0%
1364,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,"Number of Trusted Contacts of a Customer",Medium,74.7%,72.0%
1552,https://leetcode.com/problems/magnetic-force-between-two-balls,"Magnetic Force Between Two Balls",Medium,72.0%,72.0%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Minimum Operations to Write the Letter Y on a Grid",Medium,64.5%,67.3%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,64.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,"Implement Trie (Prefix Tree)",Medium,69.4%,64.5%
359,https://leetcode.com/problems/logger-rate-limiter,"Logger Rate Limiter",Easy,76.8%,64.5%
2768,https://leetcode.com/problems/number-of-black-blocks,"Number of Black Blocks",Medium,41.7%,64.5%
