ID,URL,Title,Difficulty,Acceptance %,Frequency %
767,https://leetcode.com/problems/reorganize-string,"Reorganize String",Medium,57.0%,100.0%
723,https://leetcode.com/problems/candy-crush,"Candy Crush",Medium,77.4%,93.3%
68,https://leetcode.com/problems/text-justification,"Text Justification",Hard,50.9%,89.5%
621,https://leetcode.com/problems/task-scheduler,"Task Scheduler",Medium,63.0%,89.5%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,"Maximize Distance to Closest Person",Medium,49.7%,87.3%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,83.5%
1434,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Number of Ways to Wear Different Hats to Each Other",Hard,45.9%,82.1%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,75.0%
273,https://leetcode.com/problems/integer-to-english-words,"Integer to English Words",Hard,35.0%,72.8%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,70.4%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,67.6%
208,https://leetcode.com/problems/implement-trie-prefix-tree,"Implement Trie (Prefix Tree)",Medium,69.4%,67.6%
2768,https://leetcode.com/problems/number-of-black-blocks,"Number of Black Blocks",Medium,41.7%,67.6%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Minimum Operations to Write the Letter Y on a Grid",Medium,64.5%,67.6%
642,https://leetcode.com/problems/design-search-autocomplete-system,"Design Search Autocomplete System",Hard,49.9%,64.4%
2468,https://leetcode.com/problems/split-message-based-on-limit,"Split Message Based on Limit",Hard,42.4%,62.5%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,"Subarrays with K Different Integers",Hard,68.0%,60.6%
1861,https://leetcode.com/problems/rotating-the-box,"Rotating the Box",Medium,79.2%,60.6%
2021,https://leetcode.com/problems/brightest-position-on-street,"Brightest Position on Street",Medium,60.6%,60.6%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Find the Length of the Longest Common Prefix",Medium,57.1%,60.6%
3161,https://leetcode.com/problems/block-placement-queries,"Block Placement Queries",Hard,18.5%,60.6%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,55.9%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,55.9%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,55.9%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,"Largest Rectangle in Histogram",Hard,49.7%,55.9%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,55.9%
2251,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Number of Flowers in Full Bloom",Hard,57.8%,55.9%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,41.2%,50.0%
62,https://leetcode.com/problems/unique-paths,"Unique Paths",Medium,65.9%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,55.4%,50.0%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,37.4%,50.0%
498,https://leetcode.com/problems/diagonal-traverse,"Diagonal Traverse",Medium,63.3%,50.0%
