ID,URL,Title,Difficulty,Acceptance %,Frequency %
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.4%,100.0%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.3%,100.0%
1434,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,Number of Ways to Wear Different Hats to Each Other,Hard,45.9%,100.0%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,87.5%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,85.3%
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,49.9%,78.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,49.0%,75.0%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,73.4%
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,37.5%,73.4%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,67.2%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,58.6%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,58.6%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,58.6%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,58.6%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,59.4%,58.6%
