ID,URL,Title,Difficulty,Acceptance %,Frequency %
3207,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Maximum Points After Enemy Battles",Medium,33.3%,100.0%
2982,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Find Longest Special Substring That Occurs Thrice II",Medium,39.2%,61.7%
3410,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Maximize Subarray Sum After Removing All Occurrences of One Element",Hard,23.1%,61.7%
3426,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Manhattan Distances of All Arrangements of Pieces",Hard,35.2%,61.7%
3524,https://leetcode.com/problems/find-x-value-of-array-i,"Find X Value of Array I",Medium,37.4%,61.7%
3525,https://leetcode.com/problems/find-x-value-of-array-ii,"Find X Value of Array II",Hard,31.0%,61.7%
2249,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Count Lattice Points Inside a Circle",Medium,56.6%,53.3%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,50.3%
1146,https://leetcode.com/problems/snapshot-array,"Snapshot Array",Medium,36.7%,50.3%
2132,https://leetcode.com/problems/stamping-the-grid,"Stamping the Grid",Hard,35.2%,50.3%
621,https://leetcode.com/problems/task-scheduler,"Task Scheduler",Medium,63.0%,46.7%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,42.0%
87,https://leetcode.com/problems/scramble-string,"Scramble String",Hard,44.4%,42.0%
301,https://leetcode.com/problems/remove-invalid-parentheses,"Remove Invalid Parentheses",Hard,49.9%,42.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,42.0%
723,https://leetcode.com/problems/candy-crush,"Candy Crush",Medium,77.4%,42.0%
1236,https://leetcode.com/problems/web-crawler,"Web Crawler",Medium,68.8%,42.0%
2365,https://leetcode.com/problems/task-scheduler-ii,"Task Scheduler II",Medium,54.8%,42.0%
3021,https://leetcode.com/problems/alice-and-bob-playing-flower-game,"Alice and Bob Playing Flower Game",Medium,60.0%,42.0%
72,https://leetcode.com/problems/edit-distance,"Edit Distance",Medium,59.0%,37.5%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,47.7%,37.5%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Minimum Number of Refueling Stops",Hard,40.6%,37.5%
1188,https://leetcode.com/problems/design-bounded-blocking-queue,"Design Bounded Blocking Queue",Medium,73.0%,37.5%
2296,https://leetcode.com/problems/design-a-text-editor,"Design a Text Editor",Hard,47.3%,37.5%
18,https://leetcode.com/problems/4sum,"4Sum",Medium,40.5%,35.3%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,"Design Add and Search Words Data Structure",Medium,48.4%,35.3%
528,https://leetcode.com/problems/random-pick-with-weight,"Random Pick with Weight",Medium,49.0%,35.3%
622,https://leetcode.com/problems/design-circular-queue,"Design Circular Queue",Medium,54.4%,35.3%
761,https://leetcode.com/problems/special-binary-string,"Special Binary String",Hard,79.3%,35.3%
1242,https://leetcode.com/problems/web-crawler-multithreaded,"Web Crawler Multithreaded",Medium,51.2%,35.3%
1463,https://leetcode.com/problems/cherry-pickup-ii,"Cherry Pickup II",Hard,72.4%,35.3%
2502,https://leetcode.com/problems/design-memory-allocator,"Design Memory Allocator",Medium,50.1%,35.3%
2927,https://leetcode.com/problems/distribute-candies-among-children-iii,"Distribute Candies Among Children III",Hard,57.3%,35.3%
2928,https://leetcode.com/problems/distribute-candies-among-children-i,"Distribute Candies Among Children I",Easy,76.3%,35.3%
2929,https://leetcode.com/problems/distribute-candies-among-children-ii,"Distribute Candies Among Children II",Medium,55.7%,35.3%
3083,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Existence of a Substring in a String and Its Reverse",Easy,66.4%,35.3%
3098,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Find the Sum of Subsequence Powers",Hard,25.1%,35.3%
