ID,URL,Title,Difficulty,Acceptance %,Frequency %
2571,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Minimum Operations to Reduce an Integer to 0",Medium,62.0%,100.0%
3488,https://leetcode.com/problems/closest-equal-element-queries,"Closest Equal Element Queries",Medium,31.3%,100.0%
2380,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"Time Needed to Rearrange a Binary String",Medium,52.9%,96.1%
1221,https://leetcode.com/problems/split-a-string-in-balanced-strings,"Split a String in Balanced Strings",Easy,86.8%,87.5%
3540,https://leetcode.com/problems/minimum-time-to-visit-all-houses,"Minimum Time to Visit All Houses",Medium,68.1%,87.5%
3607,https://leetcode.com/problems/power-grid-maintenance,"Power Grid Maintenance",Medium,43.8%,87.5%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,"Maximum Palindromes After Operations",Medium,46.2%,85.2%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,83.4%
713,https://leetcode.com/problems/subarray-product-less-than-k,"Subarray Product Less Than K",Medium,53.0%,75.0%
1143,https://leetcode.com/problems/longest-common-subsequence,"Longest Common Subsequence",Medium,58.3%,75.0%
1297,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Maximum Number of Occurrences of a Substring",Medium,53.6%,75.0%
2488,https://leetcode.com/problems/count-subarrays-with-median-k,"Count Subarrays With Median K",Hard,45.7%,75.0%
3634,https://leetcode.com/problems/minimum-removals-to-balance-array,"Minimum Removals to Balance Array",Medium,47.8%,70.5%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,66.6%
460,https://leetcode.com/problems/lfu-cache,"LFU Cache",Hard,49.0%,66.6%
115,https://leetcode.com/problems/distinct-subsequences,"Distinct Subsequences",Hard,50.3%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,55.7%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Binary Tree Maximum Path Sum",Hard,42.2%,55.7%
628,https://leetcode.com/problems/maximum-product-of-three-numbers,"Maximum Product of Three Numbers",Easy,45.9%,55.7%
664,https://leetcode.com/problems/strange-printer,"Strange Printer",Hard,60.9%,55.7%
1219,https://leetcode.com/problems/path-with-maximum-gold,"Path with Maximum Gold",Medium,68.4%,55.7%
1522,https://leetcode.com/problems/diameter-of-n-ary-tree,"Diameter of N-Ary Tree",Medium,75.4%,55.7%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,"Collect Coins in a Tree",Hard,40.0%,55.7%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,36.0%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,67.0%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,57.0%,50.0%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,45.4%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,55.4%,50.0%
353,https://leetcode.com/problems/design-snake-game,"Design Snake Game",Medium,39.7%,50.0%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,61.3%,50.0%
465,https://leetcode.com/problems/optimal-account-balancing,"Optimal Account Balancing",Hard,50.0%,50.0%
535,https://leetcode.com/problems/encode-and-decode-tinyurl,"Encode and Decode TinyURL",Medium,86.4%,50.0%
735,https://leetcode.com/problems/asteroid-collision,"Asteroid Collision",Medium,45.7%,50.0%
844,https://leetcode.com/problems/backspace-string-compare,"Backspace String Compare",Easy,49.5%,50.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,"Max Consecutive Ones III",Medium,66.1%,50.0%
1200,https://leetcode.com/problems/minimum-absolute-difference,"Minimum Absolute Difference",Easy,70.7%,50.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Minimum Number of Taps to Open to Water a Garden",Hard,50.7%,50.0%
1481,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Least Number of Unique Integers after K Removals",Medium,63.5%,50.0%
2957,https://leetcode.com/problems/remove-adjacent-almost-equal-characters,"Remove Adjacent Almost-Equal Characters",Medium,51.9%,50.0%
3295,https://leetcode.com/problems/report-spam-message,"Report Spam Message",Medium,47.7%,50.0%
6,https://leetcode.com/problems/zigzag-conversion,"Zigzag Conversion",Medium,54.0%,47.2%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,47.2%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,65.9%,47.2%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Construct Binary Tree from Preorder and Inorder Traversal",Medium,68.7%,47.2%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,47.2%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,47.2%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,47.2%
213,https://leetcode.com/problems/house-robber-ii,"House Robber II",Medium,44.8%,47.2%
268,https://leetcode.com/problems/missing-number,"Missing Number",Easy,71.9%,47.2%
332,https://leetcode.com/problems/reconstruct-itinerary,"Reconstruct Itinerary",Hard,44.5%,47.2%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,47.2%
355,https://leetcode.com/problems/design-twitter,"Design Twitter",Medium,44.5%,47.2%
740,https://leetcode.com/problems/delete-and-earn,"Delete and Earn",Medium,57.2%,47.2%
743,https://leetcode.com/problems/network-delay-time,"Network Delay Time",Medium,60.2%,47.2%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"All Nodes Distance K in Binary Tree",Medium,67.6%,47.2%
934,https://leetcode.com/problems/shortest-bridge,"Shortest Bridge",Medium,59.4%,47.2%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,"Subarrays with K Different Integers",Hard,68.0%,47.2%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,47.2%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"Remove All Adjacent Duplicates in String II",Medium,61.2%,47.2%
1839,https://leetcode.com/problems/longest-substring-of-all-vowels-in-order,"Longest Substring Of All Vowels in Order",Medium,51.8%,47.2%
2534,https://leetcode.com/problems/time-taken-to-cross-the-door,"Time Taken to Cross the Door",Hard,50.1%,47.2%
3366,https://leetcode.com/problems/minimum-array-sum,"Minimum Array Sum",Medium,31.3%,47.2%
