ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,100.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,53.0%,100.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,97.2%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,97.2%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,86.3%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,86.3%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,81.3%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,81.3%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,75.4%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,75.4%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,75.4%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,75.4%
417,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,60.8%,75.4%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,75.4%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.9%,75.4%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,75.0%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.5%,75.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,75.0%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,67.6%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.7%,67.6%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,67.6%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.8%,67.6%
186,https://leetcode.com/problems/reverse-words-in-a-string-ii,Reverse Words in a String II,Medium,56.7%,67.6%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,67.6%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,67.6%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,67.6%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,67.6%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.1%,67.6%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,67.6%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.1%,67.6%
2116,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,Check if a Parentheses String Can Be Valid,Medium,45.1%,67.6%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,68.6%,62.5%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,26.3%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,62.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,63.8%,62.5%
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,27.8%,62.5%
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,39.0%,62.5%
1698,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,Number of Distinct Substrings in a String,Medium,64.4%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,56.8%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,56.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,56.8%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.5%,56.8%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,56.8%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,56.8%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,56.8%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,56.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,56.8%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.1%,56.8%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,56.8%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,56.8%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,56.8%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.3%,56.8%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,56.8%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.9%,56.8%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,70.0%,56.8%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,56.8%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,44.8%,56.8%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,56.8%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,57.8%,56.8%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,56.8%
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,52.1%,56.8%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,56.8%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.8%,56.8%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.5%,56.8%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,56.8%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,68.0%,56.8%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,56.8%
1611,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,Minimum One Bit Operations to Make Integers Zero,Hard,78.3%,56.8%
2063,https://leetcode.com/problems/vowels-of-all-substrings,Vowels of All Substrings,Medium,55.3%,56.8%
