ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,95.2%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,89.2%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,87.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,87.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,46.8%,87.5%
218,https://leetcode.com/problems/the-skyline-problem,The Skyline Problem,Hard,45.2%,81.6%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,75.0%
61,https://leetcode.com/problems/rotate-list,Rotate List,Medium,40.1%,75.0%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,41.4%,75.0%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,56.1%,75.0%
1845,https://leetcode.com/problems/seat-reservation-manager,Seat Reservation Manager,Medium,66.5%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,74.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,45.4%,71.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,70.9%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,70.9%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,70.9%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,70.9%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,70.9%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,70.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,70.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,70.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,70.9%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.3%,70.9%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,70.9%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,70.9%
260,https://leetcode.com/problems/single-number-iii,Single Number III,Medium,70.3%,70.9%
628,https://leetcode.com/problems/maximum-product-of-three-numbers,Maximum Product of Three Numbers,Easy,45.9%,70.9%
921,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,Medium,74.4%,70.9%
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Medium,64.4%,70.9%
2064,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,Minimized Maximum of Products Distributed to Any Store,Medium,63.1%,70.9%
3187,https://leetcode.com/problems/peaks-in-array,Peaks in Array,Hard,27.5%,70.9%
