ID,URL,Title,Difficulty,Acceptance %,Frequency %
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,97.9%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.8%,97.9%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,97.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,95.7%
803,https://leetcode.com/problems/bricks-falling-when-hit,Bricks Falling When Hit,Hard,37.1%,93.2%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,84.1%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,84.1%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,80.1%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,80.1%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,80.1%
635,https://leetcode.com/problems/design-log-storage-system,Design Log Storage System,Medium,59.6%,75.4%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,75.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.0%,75.0%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.1%,75.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,43.7%,75.0%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,58.7%,75.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,66.1%,75.0%
1306,https://leetcode.com/problems/jump-game-iii,Jump Game III,Medium,66.1%,75.0%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,75.0%
2268,https://leetcode.com/problems/minimum-number-of-keypresses,Minimum Number of Keypresses,Medium,71.3%,75.0%
2296,https://leetcode.com/problems/design-a-text-editor,Design a Text Editor,Hard,47.3%,75.0%
2385,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,Amount of Time for Binary Tree to Be Infected,Medium,64.0%,75.0%
2589,https://leetcode.com/problems/minimum-time-to-complete-all-tasks,Minimum Time to Complete All Tasks,Hard,37.9%,75.0%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.9%,69.7%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,53.6%,69.7%
