ID,URL,Title,Difficulty,Acceptance %,Frequency %
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,100.0%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,61.3%,100.0%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.3%,100.0%
803,https://leetcode.com/problems/bricks-falling-when-hit,Bricks Falling When Hit,Hard,35.8%,100.0%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.0%,100.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,91.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,91.5%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,74.6%,88.8%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,85.9%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,78.6%
296,https://leetcode.com/problems/best-meeting-point,Best Meeting Point,Hard,61.4%,78.6%
772,https://leetcode.com/problems/basic-calculator-iii,Basic Calculator III,Hard,53.3%,78.6%
2258,https://leetcode.com/problems/escape-the-spreading-fire,Escape the Spreading Fire,Hard,38.1%,78.6%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,51.4%,75.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.8%,72.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,68.4%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,68.4%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,61.3%,68.4%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,68.4%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.4%,68.4%
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,Most Stones Removed with Same Row or Column,Medium,62.9%,68.4%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,62.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,36.6%,62.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,62.5%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,53.8%,62.5%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,62.7%,62.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,62.5%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,62.5%
635,https://leetcode.com/problems/design-log-storage-system,Design Log Storage System,Medium,59.2%,62.5%
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,45.7%,62.5%
1639,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,Number of Ways to Form a Target String Given a Dictionary,Hard,57.0%,62.5%
