ID,URL,Title,Difficulty,Acceptance %,Frequency %
202,https://leetcode.com/problems/happy-number,"Happy Number",Easy,59.5%,100.0%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,96.6%
588,https://leetcode.com/problems/design-in-memory-file-system,"Design In-Memory File System",Hard,48.4%,92.5%
76,https://leetcode.com/problems/minimum-window-substring,"Minimum Window Substring",Hard,47.4%,89.7%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,38.4%,88.7%
2050,https://leetcode.com/problems/parallel-courses-iii,"Parallel Courses III",Hard,66.8%,87.6%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,84.0%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Find All Anagrams in a String",Medium,53.6%,84.0%
2742,https://leetcode.com/problems/painting-the-walls,"Painting the Walls",Hard,49.0%,84.0%
2096,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"Step-By-Step Directions From a Binary Tree Node to Another",Medium,56.4%,79.7%
3155,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Maximum Number of Upgradable Servers",Medium,43.3%,79.7%
1600,https://leetcode.com/problems/throne-inheritance,"Throne Inheritance",Medium,67.1%,78.0%
2303,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Calculate Amount Paid in Taxes",Easy,69.2%,78.0%
2851,https://leetcode.com/problems/string-transformation,"String Transformation",Hard,27.0%,78.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Maximum Profit in Job Scheduling",Hard,54.7%,76.3%
2856,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Minimum Array Length After Pair Removals",Medium,27.4%,74.3%
3176,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Find the Maximum Length of a Good Subsequence I",Medium,32.7%,74.3%
3177,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,"Find the Maximum Length of a Good Subsequence II",Hard,25.2%,72.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,69.9%
1639,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Number of Ways to Form a Target String Given a Dictionary",Hard,56.5%,69.9%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Count Vowel Substrings of a String",Easy,73.1%,69.9%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,67.3%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,67.3%
3880,https://leetcode.com/problems/minimum-absolute-difference-between-two-values,"Minimum Absolute Difference Between Two Values",Easy,66.3%,67.3%
224,https://leetcode.com/problems/basic-calculator,"Basic Calculator",Hard,46.8%,64.3%
695,https://leetcode.com/problems/max-area-of-island,"Max Area of Island",Medium,73.9%,64.3%
706,https://leetcode.com/problems/design-hashmap,"Design HashMap",Easy,66.5%,64.3%
1136,https://leetcode.com/problems/parallel-courses,"Parallel Courses",Medium,62.2%,64.3%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,63.3%,62.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,60.9%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,60.9%
545,https://leetcode.com/problems/boundary-of-binary-tree,"Boundary of Binary Tree",Medium,48.1%,60.9%
981,https://leetcode.com/problems/time-based-key-value-store,"Time Based Key-Value Store",Medium,49.9%,60.9%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Maximum Number of Events That Can Be Attended",Medium,39.0%,60.9%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,56.9%
71,https://leetcode.com/problems/simplify-path,"Simplify Path",Medium,50.4%,56.9%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,56.9%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,"Design Add and Search Words Data Structure",Medium,48.4%,56.9%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,56.9%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,"Maximize Distance to Closest Person",Medium,49.7%,56.9%
1233,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Remove Sub-Folders from the Filesystem",Medium,78.6%,56.9%
1236,https://leetcode.com/problems/web-crawler,"Web Crawler",Medium,68.8%,56.9%
1242,https://leetcode.com/problems/web-crawler-multithreaded,"Web Crawler Multithreaded",Medium,51.2%,56.9%
10,https://leetcode.com/problems/regular-expression-matching,"Regular Expression Matching",Hard,30.8%,52.0%
116,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Populating Next Right Pointers in Each Node",Medium,67.1%,52.0%
155,https://leetcode.com/problems/min-stack,"Min Stack",Medium,58.0%,52.0%
243,https://leetcode.com/problems/shortest-word-distance,"Shortest Word Distance",Easy,66.3%,52.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,52.0%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,"Single Element in a Sorted Array",Medium,59.2%,52.0%
621,https://leetcode.com/problems/task-scheduler,"Task Scheduler",Medium,63.0%,52.0%
827,https://leetcode.com/problems/making-a-large-island,"Making A Large Island",Hard,56.5%,52.0%
841,https://leetcode.com/problems/keys-and-rooms,"Keys and Rooms",Medium,75.7%,52.0%
917,https://leetcode.com/problems/reverse-only-letters,"Reverse Only Letters",Easy,68.4%,52.0%
1146,https://leetcode.com/problems/snapshot-array,"Snapshot Array",Medium,36.7%,52.0%
1751,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,"Maximum Number of Events That Can Be Attended II",Hard,63.5%,52.0%
24,https://leetcode.com/problems/swap-nodes-in-pairs,"Swap Nodes in Pairs",Medium,67.4%,50.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,49.5%,50.0%
330,https://leetcode.com/problems/patching-array,"Patching Array",Hard,53.6%,50.0%
480,https://leetcode.com/problems/sliding-window-median,"Sliding Window Median",Hard,38.7%,50.0%
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Maximum Profit From Trading Stocks",Medium,46.7%,50.0%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Count Subarrays With Fixed Bounds",Hard,69.4%,50.0%
2702,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Minimum Operations to Make Numbers Non-positive",Hard,42.3%,50.0%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,45.7%
52,https://leetcode.com/problems/n-queens-ii,"N-Queens II",Hard,78.5%,45.7%
117,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Populating Next Right Pointers in Each Node II",Medium,57.4%,45.7%
261,https://leetcode.com/problems/graph-valid-tree,"Graph Valid Tree",Medium,50.0%,45.7%
271,https://leetcode.com/problems/encode-and-decode-strings,"Encode and Decode Strings",Medium,51.5%,45.7%
273,https://leetcode.com/problems/integer-to-english-words,"Integer to English Words",Hard,35.0%,45.7%
295,https://leetcode.com/problems/find-median-from-data-stream,"Find Median from Data Stream",Hard,54.4%,45.7%
528,https://leetcode.com/problems/random-pick-with-weight,"Random Pick with Weight",Medium,49.0%,45.7%
635,https://leetcode.com/problems/design-log-storage-system,"Design Log Storage System",Medium,59.6%,45.7%
641,https://leetcode.com/problems/design-circular-deque,"Design Circular Deque",Medium,64.6%,45.7%
687,https://leetcode.com/problems/longest-univalue-path,"Longest Univalue Path",Medium,43.8%,45.7%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Cheapest Flights Within K Stops",Medium,41.7%,45.7%
872,https://leetcode.com/problems/leaf-similar-trees,"Leaf-Similar Trees",Easy,70.2%,45.7%
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Most Stones Removed with Same Row or Column",Medium,62.9%,45.7%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,45.7%
1494,https://leetcode.com/problems/parallel-courses-ii,"Parallel Courses II",Hard,30.9%,45.7%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,37.1%,37.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,52.3%,37.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,37.5%
301,https://leetcode.com/problems/remove-invalid-parentheses,"Remove Invalid Parentheses",Hard,49.3%,37.5%
