ID,URL,Title,Difficulty,Acceptance %,Frequency %
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,100.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,100.0%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,100.0%
2742,https://leetcode.com/problems/painting-the-walls,Painting the Walls,Hard,49.0%,96.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,87.8%
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,48.4%,87.8%
2096,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,Step-By-Step Directions From a Binary Tree Node to Another,Medium,56.3%,87.5%
2303,https://leetcode.com/problems/calculate-amount-paid-in-taxes,Calculate Amount Paid in Taxes,Easy,67.7%,87.5%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,53.6%,82.0%
1136,https://leetcode.com/problems/parallel-courses,Parallel Courses,Medium,62.2%,82.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
243,https://leetcode.com/problems/shortest-word-distance,Shortest Word Distance,Easy,66.3%,74.6%
261,https://leetcode.com/problems/graph-valid-tree,Graph Valid Tree,Medium,50.0%,74.6%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,48.1%,74.6%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.5%,74.6%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,74.6%
1236,https://leetcode.com/problems/web-crawler,Web Crawler,Medium,68.8%,74.6%
1494,https://leetcode.com/problems/parallel-courses-ii,Parallel Courses II,Hard,30.9%,74.6%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,52.7%,64.2%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,64.1%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.7%,64.1%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,64.1%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,64.1%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.4%,64.1%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,64.1%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,64.1%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,60.4%,64.1%
641,https://leetcode.com/problems/design-circular-deque,Design Circular Deque,Medium,64.6%,64.1%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,73.9%,64.1%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,64.1%
841,https://leetcode.com/problems/keys-and-rooms,Keys and Rooms,Medium,75.7%,64.1%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,64.1%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,64.1%
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,51.2%,64.1%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,64.1%
1472,https://leetcode.com/problems/design-browser-history,Design Browser History,Medium,78.3%,64.1%
1600,https://leetcode.com/problems/throne-inheritance,Throne Inheritance,Medium,67.1%,64.1%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,73.1%,64.1%
3092,https://leetcode.com/problems/most-frequent-ids,Most Frequent IDs,Medium,42.7%,63.8%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,62.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,62.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,60.8%,62.5%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,45.7%,62.5%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,62.5%
687,https://leetcode.com/problems/longest-univalue-path,Longest Univalue Path,Medium,42.7%,62.5%
1233,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,Remove Sub-Folders from the Filesystem,Medium,75.8%,62.5%
2851,https://leetcode.com/problems/string-transformation,String Transformation,Hard,25.5%,62.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,50.0%
52,https://leetcode.com/problems/n-queens-ii,N-Queens II,Hard,76.9%,50.0%
116,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,Medium,65.6%,50.0%
117,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers in Each Node II,Medium,55.7%,50.0%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,50.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,50.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.2%,50.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,50.0%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,35.1%,50.0%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,49.0%,50.0%
947,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,Most Stones Removed with Same Row or Column,Medium,62.3%,50.0%
1631,https://leetcode.com/problems/path-with-minimum-effort,Path With Minimum Effort,Medium,61.6%,50.0%
1751,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,Maximum Number of Events That Can Be Attended II,Hard,64.0%,50.0%
2467,https://leetcode.com/problems/most-profitable-path-in-a-tree,Most Profitable Path in a Tree,Medium,67.6%,50.0%
