ID,URL,Title,Difficulty,Acceptance %,Frequency %
1347,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Minimum Number of Steps to Make Two Strings Anagram",Medium,82.5%,100.0%
76,https://leetcode.com/problems/minimum-window-substring,"Minimum Window Substring",Hard,47.4%,96.1%
845,https://leetcode.com/problems/longest-mountain-in-array,"Longest Mountain in Array",Medium,42.1%,96.1%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,55.9%,87.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,86.0%
735,https://leetcode.com/problems/asteroid-collision,"Asteroid Collision",Medium,47.7%,86.0%
2472,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Maximum Number of Non-overlapping Palindrome Substrings",Hard,44.6%,86.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,78.8%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,78.8%
253,https://leetcode.com/problems/meeting-rooms-ii,"Meeting Rooms II",Medium,52.2%,75.0%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Flatten a Multilevel Doubly Linked List",Medium,61.4%,75.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,"Subarray Product Less Than K",Medium,53.0%,75.0%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,68.7%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,68.7%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,68.7%
697,https://leetcode.com/problems/degree-of-an-array,"Degree of an Array",Easy,58.3%,68.7%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Find the Winner of the Circular Game",Medium,82.2%,68.7%
