ID,URL,Title,Difficulty,Acceptance %,Frequency %
2440,https://leetcode.com/problems/create-components-with-same-value,"Create Components With Same Value",Hard,53.6%,100.0%
1746,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Maximum Subarray Sum After One Operation",Medium,65.2%,93.4%
1755,https://leetcode.com/problems/closest-subsequence-sum,"Closest Subsequence Sum",Hard,43.6%,93.4%
1799,https://leetcode.com/problems/maximize-score-after-n-operations,"Maximize Score After N Operations",Hard,57.9%,93.4%
2048,https://leetcode.com/problems/next-greater-numerically-balanced-number,"Next Greater Numerically Balanced Number",Medium,63.1%,93.4%
2378,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,"Choose Edges to Maximize Score in a Tree",Medium,56.5%,93.4%
2518,https://leetcode.com/problems/number-of-great-partitions,"Number of Great Partitions",Hard,33.5%,93.4%
2546,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"Apply Bitwise Operations to Make Strings Equal",Medium,42.6%,93.4%
2846,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,"Minimum Edge Weight Equilibrium Queries in a Tree",Hard,45.7%,93.4%
2897,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Apply Operations on Array to Maximize Sum of Squares",Hard,44.6%,93.4%
2955,https://leetcode.com/problems/number-of-same-end-substrings,"Number of Same-End Substrings",Medium,61.6%,93.4%
2999,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Count the Number of Powerful Integers",Hard,46.3%,93.4%
3029,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,"Minimum Time to Revert Word to Initial State I",Medium,42.4%,93.4%
3031,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,"Minimum Time to Revert Word to Initial State II",Hard,35.2%,93.4%
3414,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals,"Maximum Score of Non-overlapping Intervals",Hard,31.2%,93.4%
907,https://leetcode.com/problems/sum-of-subarray-minimums,"Sum of Subarray Minimums",Medium,38.5%,75.9%
2751,https://leetcode.com/problems/robot-collisions,"Robot Collisions",Hard,56.1%,75.0%
205,https://leetcode.com/problems/isomorphic-strings,"Isomorphic Strings",Easy,48.3%,70.3%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,70.3%
1463,https://leetcode.com/problems/cherry-pickup-ii,"Cherry Pickup II",Hard,72.4%,63.1%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,57.9%,62.5%
73,https://leetcode.com/problems/set-matrix-zeroes,"Set Matrix Zeroes",Medium,60.9%,62.5%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"Serialize and Deserialize Binary Tree",Hard,59.1%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.0%,62.5%
468,https://leetcode.com/problems/validate-ip-address,"Validate IP Address",Medium,27.8%,62.5%
763,https://leetcode.com/problems/partition-labels,"Partition Labels",Medium,81.6%,62.5%
1981,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,"Minimize the Difference Between Target and Chosen Elements",Medium,35.9%,62.5%
