ID,URL,Title,Difficulty,Acceptance %,Frequency %
1861,https://leetcode.com/problems/rotating-the-box,"Rotating the Box",Medium,79.2%,100.0%
573,https://leetcode.com/problems/squirrel-simulation,"Squirrel Simulation",Medium,57.4%,98.0%
2069,https://leetcode.com/problems/walking-robot-simulation-ii,"Walking Robot Simulation II",Medium,43.2%,98.0%
139,https://leetcode.com/problems/word-break,"Word Break",Medium,49.4%,95.8%
699,https://leetcode.com/problems/falling-squares,"Falling Squares",Hard,47.7%,95.8%
969,https://leetcode.com/problems/pancake-sorting,"Pancake Sorting",Medium,71.8%,95.8%
999,https://leetcode.com/problems/available-captures-for-rook,"Available Captures for Rook",Easy,71.7%,95.8%
1814,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Count Nice Pairs in an Array",Medium,48.5%,95.8%
2768,https://leetcode.com/problems/number-of-black-blocks,"Number of Black Blocks",Medium,41.7%,95.8%
300,https://leetcode.com/problems/longest-increasing-subsequence,"Longest Increasing Subsequence",Medium,59.3%,84.1%
2296,https://leetcode.com/problems/design-a-text-editor,"Design a Text Editor",Hard,47.3%,75.0%
208,https://leetcode.com/problems/implement-trie-prefix-tree,"Implement Trie (Prefix Tree)",Medium,68.1%,62.5%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,37.4%,62.5%
273,https://leetcode.com/problems/integer-to-english-words,"Integer to English Words",Hard,34.4%,62.5%
271,https://leetcode.com/problems/encode-and-decode-strings,"Encode and Decode Strings",Medium,51.5%,59.0%
490,https://leetcode.com/problems/the-maze,"The Maze",Medium,60.4%,59.0%
