ID,URL,Title,Difficulty,Acceptance %,Frequency %
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,100.0%
2939,https://leetcode.com/problems/maximum-xor-product,Maximum Xor Product,Medium,29.7%,91.4%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.2%,83.2%
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,33.9%,83.2%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,77.8%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,77.8%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.8%,77.8%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,75.0%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,66.1%,75.0%
1312,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,Minimum Insertion Steps to Make a String Palindrome,Hard,72.7%,75.0%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,70.9%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,47.2%,70.9%
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,83.0%,70.9%
2466,https://leetcode.com/problems/count-ways-to-build-good-strings,Count Ways To Build Good Strings,Medium,58.9%,70.9%
2771,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,Longest Non-decreasing Subarray From Two Arrays,Medium,31.1%,70.9%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,46.2%,70.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,61.1%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,61.1%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,61.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,61.1%
1605,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums,Find Valid Matrix Given Row and Column Sums,Medium,82.6%,61.1%
2918,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,50.2%,61.1%
