ID,URL,Title,Difficulty,Acceptance %,Frequency %
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.1%,100.0%
2483,https://leetcode.com/problems/minimum-penalty-for-a-shop,Minimum Penalty for a Shop,Medium,71.2%,100.0%
1087,https://leetcode.com/problems/brace-expansion,Brace Expansion,Medium,66.9%,93.2%
2303,https://leetcode.com/problems/calculate-amount-paid-in-taxes,Calculate Amount Paid in Taxes,Easy,69.2%,93.2%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.7%,88.9%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,32.4%,88.8%
161,https://leetcode.com/problems/one-edit-distance,One Edit Distance,Medium,34.6%,67.1%
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,69.7%,67.1%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,67.1%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,41.7%,67.1%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.0%,50.0%
