ID,URL,Title,Difficulty,Acceptance %,Frequency %
1711,https://leetcode.com/problems/count-good-meals,Count Good Meals,Medium,32.8%,100.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,88.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,88.5%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,76.0%,88.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,80.4%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,80.4%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,80.4%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,80.4%
888,https://leetcode.com/problems/fair-candy-swap,Fair Candy Swap,Easy,64.8%,80.4%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,59.7%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,75.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.8%,75.0%
646,https://leetcode.com/problems/maximum-length-of-pair-chain,Maximum Length of Pair Chain,Medium,61.0%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,68.9%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,68.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,68.9%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,68.9%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,68.9%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,68.9%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,68.9%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.4%,68.9%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,51.8%,68.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,68.9%
371,https://leetcode.com/problems/sum-of-two-integers,Sum of Two Integers,Medium,55.4%,68.9%
523,https://leetcode.com/problems/continuous-subarray-sum,Continuous Subarray Sum,Medium,31.3%,68.9%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,68.9%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,68.9%,68.9%
1029,https://leetcode.com/problems/two-city-scheduling,Two City Scheduling,Medium,68.5%,68.9%
1174,https://leetcode.com/problems/immediate-food-delivery-ii,Immediate Food Delivery II,Medium,55.9%,68.9%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,68.9%
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,64.7%,68.9%
1717,https://leetcode.com/problems/maximum-score-from-removing-substrings,Maximum Score From Removing Substrings,Medium,66.5%,68.9%
1986,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,Minimum Number of Work Sessions to Finish the Tasks,Medium,34.7%,68.9%
2943,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,Maximize Area of Square Hole in Grid,Medium,61.9%,68.9%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,68.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,68.7%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.4%,68.7%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.0%,68.7%
