ID,URL,Title,Difficulty,Acceptance %,Frequency %
2993,https://leetcode.com/problems/friday-purchases-i,Friday Purchases I,Medium,80.5%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,85.4%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,73.9%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.2%,69.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,65.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,65.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,64.3%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,64.3%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,63.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,61.6%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,61.6%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,60.1%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,58.5%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.6%,58.5%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,58.5%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,56.7%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,56.7%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,56.7%
898,https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,56.8%,56.7%
3417,https://leetcode.com/problems/zigzag-grid-traversal-with-skip,Zigzag Grid Traversal With Skip,Easy,65.1%,56.7%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,54.7%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,54.7%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,56.0%,54.7%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,52.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.3%,52.5%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,52.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,50.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,50.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,50.0%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.9%,50.0%
