ID,URL,Title,Difficulty,Acceptance %,Frequency %
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,100.0%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,92.1%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,84.9%
622,https://leetcode.com/problems/design-circular-queue,"Design Circular Queue",Medium,54.4%,84.9%
1117,https://leetcode.com/problems/building-h2o,"Building H2O",Medium,58.3%,84.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,80.4%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,80.4%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,62.9%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,45.6%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,74.9%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,74.9%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,67.8%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,67.8%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,67.8%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,67.8%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,67.8%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,67.8%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,67.8%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,63.3%,62.5%
40,https://leetcode.com/problems/combination-sum-ii,"Combination Sum II",Medium,57.8%,62.5%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,71.1%,62.5%
71,https://leetcode.com/problems/simplify-path,"Simplify Path",Medium,48.1%,62.5%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Construct Binary Tree from Preorder and Inorder Traversal",Medium,67.0%,62.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Find Minimum in Rotated Sorted Array",Medium,52.8%,62.5%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,52.4%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,79.3%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,53.6%,62.5%
224,https://leetcode.com/problems/basic-calculator,"Basic Calculator",Hard,45.7%,62.5%
268,https://leetcode.com/problems/missing-number,"Missing Number",Easy,70.3%,62.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,"Flatten Nested List Iterator",Medium,65.3%,62.5%
392,https://leetcode.com/problems/is-subsequence,"Is Subsequence",Easy,48.4%,62.5%
695,https://leetcode.com/problems/max-area-of-island,"Max Area of Island",Medium,73.2%,62.5%
976,https://leetcode.com/problems/largest-perimeter-triangle,"Largest Perimeter Triangle",Easy,57.5%,62.5%
1189,https://leetcode.com/problems/maximum-number-of-balloons,"Maximum Number of Balloons",Easy,59.8%,62.5%
1275,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Find Winner on a Tic Tac Toe Game",Easy,54.2%,62.5%
2325,https://leetcode.com/problems/decode-the-message,"Decode the Message",Easy,85.5%,62.5%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,57.7%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,42.8%,57.7%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,57.7%
127,https://leetcode.com/problems/word-ladder,"Word Ladder",Hard,45.4%,57.7%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,57.7%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Evaluate Reverse Polish Notation",Medium,57.6%,57.7%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,"Intersection of Two Linked Lists",Easy,63.6%,57.7%
202,https://leetcode.com/problems/happy-number,"Happy Number",Easy,59.5%,57.7%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,57.7%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"Serialize and Deserialize Binary Tree",Hard,60.6%,57.7%
346,https://leetcode.com/problems/moving-average-from-data-stream,"Moving Average from Data Stream",Easy,80.2%,57.7%
348,https://leetcode.com/problems/design-tic-tac-toe,"Design Tic-Tac-Toe",Medium,58.8%,57.7%
767,https://leetcode.com/problems/reorganize-string,"Reorganize String",Medium,57.0%,57.7%
1729,https://leetcode.com/problems/find-followers-count,"Find Followers Count",Easy,69.6%,57.7%
1758,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,"Minimum Changes To Make Alternating Binary String",Easy,67.8%,57.7%
