ID,URL,Title,Difficulty,Acceptance %,Frequency %
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.3%,100.0%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,73.1%,87.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,87.5%
670,https://leetcode.com/problems/maximum-swap,Maximum Swap,Medium,51.8%,87.5%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,87.5%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,87.5%
3441,https://leetcode.com/problems/minimum-cost-good-caption,Minimum Cost Good Caption,Hard,19.0%,87.5%
3474,https://leetcode.com/problems/lexicographically-smallest-generated-string,Lexicographically Smallest Generated String,Hard,29.0%,87.5%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,86.2%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,82.3%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,82.3%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,75.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,67.3%,75.0%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,47.2%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,71.9%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,71.9%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,71.9%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,71.9%
1462,https://leetcode.com/problems/course-schedule-iv,Course Schedule IV,Medium,59.8%,71.9%
340,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Longest Substring with At Most K Distinct Characters,Medium,50.1%,67.2%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,41.1%,67.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,64.6%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,64.6%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,64.6%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,64.6%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,64.6%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.1%,64.6%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,64.6%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,64.6%
298,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,Binary Tree Longest Consecutive Sequence,Medium,54.7%,64.6%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,64.6%
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,40.0%,64.6%
845,https://leetcode.com/problems/longest-mountain-in-array,Longest Mountain in Array,Medium,42.1%,64.6%
887,https://leetcode.com/problems/super-egg-drop,Super Egg Drop,Hard,30.1%,64.6%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,62.5%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,40.5%,62.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,53.4%,62.5%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,67.0%,62.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,62.5%
