ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,91.2%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,91.2%
2694,https://leetcode.com/problems/event-emitter,Event Emitter,Medium,75.0%,91.2%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,87.5%
841,https://leetcode.com/problems/keys-and-rooms,Keys and Rooms,Medium,74.8%,87.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,85.3%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,85.3%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,85.3%
2605,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,Form Smallest Number From Two Digit Arrays,Easy,55.2%,85.3%
2609,https://leetcode.com/problems/find-the-longest-balanced-substring-of-a-binary-string,Find the Longest Balanced Substring of a Binary String,Easy,46.5%,85.3%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.4%,77.8%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,77.8%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,77.8%
419,https://leetcode.com/problems/battleships-in-a-board,Battleships in a Board,Medium,77.5%,77.8%
448,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,Easy,64.0%,77.8%
1984,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,Minimum Difference Between Highest and Lowest of K Scores,Easy,66.3%,77.8%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,52.4%,75.0%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.5%,75.0%
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium,69.3%,75.0%
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,54.4%,74.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,67.2%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,67.2%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,67.2%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,67.2%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,67.2%
184,https://leetcode.com/problems/department-highest-salary,Department Highest Salary,Medium,55.0%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,62.5%
256,https://leetcode.com/problems/paint-house,Paint House,Medium,63.8%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,62.5%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,49.0%,62.5%
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,55.7%,62.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.3%,62.5%
1277,https://leetcode.com/problems/count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,Medium,78.8%,62.5%
