ID,URL,Title,Difficulty,Acceptance %,Frequency %
1027,https://leetcode.com/problems/longest-arithmetic-subsequence,Longest Arithmetic Subsequence,Medium,49.9%,100.0%
1703,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,Minimum Adjacent Swaps for K Consecutive Ones,Hard,42.2%,94.4%
3091,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Apply Operations to Make Sum of Array Greater Than or Equal to k,Medium,43.5%,87.5%
468,https://leetcode.com/problems/validate-ip-address,Validate IP Address,Medium,28.3%,87.3%
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,49.7%,82.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,77.2%
665,https://leetcode.com/problems/non-decreasing-array,Non-decreasing Array,Medium,25.4%,77.2%
3122,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,Minimum Number of Operations to Satisfy Conditions,Medium,41.8%,77.2%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.2%,75.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,75.0%
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.4%,75.0%
3138,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,Minimum Length of Anagram Concatenation,Medium,39.7%,75.0%
3153,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,Sum of Digit Differences of All Pairs,Medium,42.6%,75.0%
