ID,URL,Title,Difficulty,Acceptance %,Frequency %
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,100.0%
2571,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,Minimum Operations to Reduce an Integer to 0,Medium,57.7%,100.0%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.0%,89.6%
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,70.3%,82.2%
1186,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum Subarray Sum with One Deletion,Medium,47.3%,82.2%
1889,https://leetcode.com/problems/minimum-space-wasted-from-packaging,Minimum Space Wasted From Packaging,Hard,33.5%,82.2%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,82.2%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.1%,82.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,71.8%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,71.8%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.8%,71.8%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,71.8%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,71.8%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.5%,71.8%
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,52.0%,71.8%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.7%,71.8%
918,https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum Sum Circular Subarray,Medium,49.9%,71.8%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,71.8%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,62.5%
489,https://leetcode.com/problems/robot-room-cleaner,Robot Room Cleaner,Hard,77.6%,62.5%
633,https://leetcode.com/problems/sum-of-square-numbers,Sum of Square Numbers,Medium,36.5%,62.5%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,65.9%,62.5%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,62.5%
